Year,Winner,Loser,WRank,LRank,pl1_flag,pl1_year_pro,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_year_pro,pl2_weight,pl2_height,pl2_hand,higher_rank_won,rank_diff,rank_diff_cat,same_handedness
2021,Duckworth J.,Dzumhur D.,105,120,AUS,2010,82,183,Right,BIH,2011,70,175,Right,Yes,-15,Low,Yes
2021,Vesely J.,Coppejans K.,68,178,CZE,2009,92,198,Left,NA,NA,NA,NA,NA,Yes,-110,High,NA
2021,Humbert U.,Uchiyama Y.,34,106,FRA,2016,73,188,Left,JPN,2011,78,183,Right,Yes,-72,Medium,No
2021,Muller A.,Londero J.I.,210,83,FRA,2014,75,183,Right,ARG,2010,70,180,Right,No,127,High,Yes
2021,Carreno Busta P.,Nishikori K.,16,42,ESP,2009,78,188,Right,JPN,2007,75,178,Right,Yes,-26,Low,Yes
2021,Tiafoe F.,Travaglia S.,64,60,USA,2015,77,188,Right,ITA,2008,80,185,Right,No,4,Low,Yes
2021,Dimitrov G.,Cilic M.,21,43,BUL,2008,80,191,Right,CRO,2005,89,198,Right,Yes,-22,Low,Yes
2021,Koepfer D.,Dellien H.,70,112,GER,2016,79,180,Left,BOL,2009,75,180,Right,Yes,-42,Medium,No
2021,Lajovic D.,Stakhovsky S.,27,200,SRB,2007,78,183,Right,UKR,2003,80,193,Right,Yes,-173,High,Yes
2021,Auger-Aliassime F.,Stebe C.M.,19,129,CAN,2016,84,188,Right,GER,2010,70,183,Left,Yes,-110,High,No
2021,Schwartzman D.,Ymer E.,9,205,ARG,2010,64,170,Right,SWE,2014,78,183,Right,Yes,-196,High,Yes
2021,Tomic B.,Sugita Y.,233,104,AUS,2008,91,196,Right,JPN,2006,70,175,Right,No,129,High,Yes
2021,Kyrgios N.,Ferreira Silva F.,47,185,AUS,2013,85,193,Right,NA,NA,NA,NA,NA,Yes,-138,High,NA
2021,Cressy M.,Daniel T.,172,118,USA,2019,91,198,Right,JPN,2010,76,191,Right,No,54,Medium,Yes
2021,Djokovic N.,Chardy J.,1,61,SRB,2003,77,188,Right,FRA,2005,75,188,Right,Yes,-60,Medium,Yes
2021,Shapovalov D.,Sinner J.,12,32,CAN,2016,76,183,Left,ITA,2018,76,188,Right,Yes,-20,Low,No
2021,Harris L.,Torpegaard M.,91,188,RSA,2015,80,193,Right,DEN,2018,84,193,Right,Yes,-97,High,Yes
2021,Mcdonald M.,Cecchinato M.,192,82,USA,2016,73,178,Right,ITA,2010,78,185,Right,No,110,High,Yes
