pitch_type,count,release_speed,description
SL,0-1,87.4,ball
CU,0-0,78.5,called_strike
FF,2-2,95.3,hit_into_play
SL,1-2,88.3,ball
FF,1-1,95.1,foul
FF,1-0,93.4,foul
FF,0-0,94.4,ball
SL,1-1,88.2,hit_into_play
CH,1-0,86.1,called_strike
CH,0-0,85.6,ball
SL,0-2,87,swinging_strike
FF,0-1,95.7,foul
CU,0-0,79,foul
CU,2-2,80.4,hit_into_play
CU,1-2,81.8,ball
CU,1-2,80.7,foul
CU,0-2,81.6,ball
CU,0-1,79.4,foul
CU,0-0,78.3,called_strike
SL,1-0,87.2,hit_into_play
CH,0-0,85.7,ball
CU,0-2,80.8,hit_into_play
FF,0-1,94.6,foul
FF,0-0,94.6,called_strike
FF,2-0,94.2,hit_into_play
FF,1-0,94.4,ball
FF,0-0,93.2,ball
CU,0-2,80.9,swinging_strike
CU,0-1,81.2,swinging_strike
CU,0-0,79.2,called_strike
SL,0-2,89.2,hit_into_play
FF,0-1,94.4,called_strike
FF,0-0,94.8,called_strike
SL,2-2,88.6,hit_into_play
SL,2-2,88.4,foul
SL,1-2,89.3,ball
SL,0-2,88,ball
FF,0-1,96.1,foul
FF,0-0,94.9,swinging_strike
CU,1-2,81.9,hit_into_play
SL,1-2,89,foul
CH,1-2,88.1,foul
FF,0-2,96.7,ball
CU,0-2,80.6,foul
SL,0-1,88,foul
SL,0-0,87.1,swinging_strike
SL,3-1,88.2,hit_into_play
FF,3-0,96.5,called_strike
SL,2-0,88.3,ball
CU,1-0,80,ball
CU,0-0,80.1,ball
CU,0-2,80.5,swinging_strike
SL,0-1,88.3,called_strike
FF,0-0,95.5,called_strike
FF,2-2,95.2,swinging_strike
FF,2-2,96,foul
FF,2-1,95.1,foul_tip
FF,2-0,94.6,called_strike
FF,1-0,93.9,ball
FF,0-0,93.9,ball
FF,0-2,96.5,hit_into_play
FF,0-1,96.5,foul
FF,0-0,96.4,called_strike
FF,1-0,96.6,hit_into_play
SL,0-0,89.5,ball
FF,3-2,97,hit_into_play
FF,3-2,96.7,foul
FF,3-2,97.1,foul
FF,2-2,96.8,ball
FF,1-2,97.5,ball
SL,0-2,91.4,blocked_ball
FF,0-1,96.2,foul
CU,0-0,78.7,called_strike
CU,1-2,82,hit_into_play
CU,0-2,81.3,blocked_ball
FF,0-2,95.4,foul
FF,0-2,96.2,foul
CU,0-2,80.6,foul
FF,0-1,94.5,foul
FF,0-0,95.1,foul
SL,0-0,88.6,hit_into_play
FF,1-1,95.6,hit_into_play
FF,0-1,96,ball
FF,0-0,94.9,called_strike
FF,0-2,96.2,hit_into_play
FF,0-2,95.6,foul
FF,0-1,95.5,foul
CU,0-0,78.8,called_strike
CU,1-2,80.2,hit_into_play
CU,1-2,79.7,foul
FF,1-1,94.4,foul
FF,1-0,95,called_strike
CU,0-0,77.5,ball
FF,2-2,95.6,hit_into_play
SL,1-2,89,ball
SL,1-2,87.8,foul
CU,0-2,80.7,ball
CU,0-2,79.5,foul
SL,0-1,87.3,foul
FF,0-0,94,called_strike
