season,tour,date,location,event,bull,score
2018,Global Cup,2018-06-09,"Sydney, NSW",2018 PBR Global Cup - Sydney,Popping Candy,78.75
2018,Touring Pro Division - USA,2018-05-06,"Las Vegas, NV",WCRA RODEO SHOWDOWN AT HELLDORADO DAYS,More Big Bucks,0
2018,Touring Pro Division - USA,2018-05-06,"Las Vegas, NV",WCRA RODEO SHOWDOWN AT HELLDORADO DAYS,Sitting Bull,0
2018,Touring Pro Division - USA,2018-05-06,"Las Vegas, NV",WCRA RODEO SHOWDOWN AT HELLDORADO DAYS,Bottoms Up,90
2018,25th PBR: Unleash the Beast,2018-05-05,"Las Vegas, NV",PBR LAST COWBOY STANDING,Budakon,0
2018,25th PBR: Unleash the Beast,2018-05-05,"Las Vegas, NV",PBR LAST COWBOY STANDING,Sky Harbor,89.75
2018,25th PBR: Unleash the Beast,2018-05-05,"Las Vegas, NV",PBR LAST COWBOY STANDING,Kimes Ranch Jeans Grave Digger,86.75
2018,Touring Pro Division - USA,2018-05-05,"Las Vegas, NV",WCRA RODEO SHOWDOWN AT HELLDORADO DAYS,Livin' Large,87.75
2018,25th PBR: Unleash the Beast,2018-05-04,"Las Vegas, NV",PBR LAST COWBOY STANDING,Break Dance,85.25
2018,25th PBR: Unleash the Beast,2018-04-14,"Tacoma, WA",TACOMA INVITATIONAL PRESENTED BY COOPER TIRES,Talking Smack,0
2018,25th PBR: Unleash the Beast,2018-04-14,"Tacoma, WA",TACOMA INVITATIONAL PRESENTED BY COOPER TIRES,WSM's Shelley's Gangster,0
2018,25th PBR: Unleash the Beast,2018-04-08,"Sioux Falls, SD",FIRST PREMIER BANK PREMIER BANKCARD INVITATIONAL,Siouxper Stinger,89
2018,25th PBR: Unleash the Beast,2018-04-08,"Sioux Falls, SD",FIRST PREMIER BANK PREMIER BANKCARD INVITATIONAL,Red Lizard,83.25
2018,25th PBR: Unleash the Beast,2018-04-07,"Sioux Falls, SD",FIRST PREMIER BANK PREMIER BANKCARD INVITATIONAL,Stretch,0
2018,25th PBR: Unleash the Beast,2018-04-06,"Sioux Falls, SD",FIRST PREMIER BANK PREMIER BANKCARD INVITATIONAL,Red Bandana,89
2018,25th PBR: Unleash the Beast,2018-03-24,"Glendale, AZ",THE AK-CHIN INVITATIONAL PRESENTED BY COOPER TIRES,More Big Bucks,87
2018,25th PBR: Unleash the Beast,2018-03-24,"Glendale, AZ",THE AK-CHIN INVITATIONAL PRESENTED BY COOPER TIRES,Samson,88.5
2018,25th PBR: Unleash the Beast,2018-03-23,"Glendale, AZ",THE AK-CHIN INVITATIONAL PRESENTED BY COOPER TIRES,Money Talks,86.5
2018,25th PBR: Unleash the Beast,2018-03-23,"Glendale, AZ",THE AK-CHIN INVITATIONAL PRESENTED BY COOPER TIRES 15/15,Spotted Demon,0
2018,25th PBR: Unleash the Beast,2018-03-18,"Albuquerque, NM",PBR TY MURRAY INVITATIONAL PRESENTED BY ISLETA RESORT AND CASINO,Bad Beagle,91.5
2018,25th PBR: Unleash the Beast,2018-03-18,"Albuquerque, NM",PBR TY MURRAY INVITATIONAL PRESENTED BY ISLETA RESORT AND CASINO,WSM's Shelley's Gangster,89
2018,25th PBR: Unleash the Beast,2018-03-17,"Albuquerque, NM",PBR TY MURRAY INVITATIONAL PRESENTED BY ISLETA RESORT AND CASINO,Big Black Cat,0
2018,25th PBR: Unleash the Beast,2018-03-16,"Albuquerque, NM",PBR TY MURRAY INVITATIONAL PRESENTED BY ISLETA RESORT AND CASINO,Chuck,85.5
2018,25th PBR: Unleash the Beast,2018-03-11,"Duluth, GA",DULUTH INVITATIONAL,Breaking Bad,0
2018,25th PBR: Unleash the Beast,2018-03-11,"Duluth, GA",DULUTH INVITATIONAL,Silver Buckle,80.25
2018,25th PBR: Unleash the Beast,2018-03-11,"Duluth, GA",DULUTH INVITATIONAL,Hurricane Hustler,85.5
2018,25th PBR: Unleash the Beast,2018-03-10,"Duluth, GA",DULUTH INVITATIONAL,Big Slick,0
2018,25th PBR: Unleash the Beast,2018-03-03,"North Little Rock, AR",PROFESSIONAL BULL RIDERS BADBOY MOWDOWN,Lucas Oil Sky High,0
2018,25th PBR: Unleash the Beast,2018-03-02,"North Little Rock, AR",PROFESSIONAL BULL RIDERS BADBOY MOWDOWN,After Party Blues,84.5
2018,Touring Pro Division - USA,2018-02-25,"Arlington, TX",The American,Rocket Man,0
2018,25th PBR: Unleash the Beast,2018-02-24,"Arlington, TX",WINSTAR WORLD CASINO AND RESORT IRON COWBOY POWERED BY KAWASAKI,Sketchy Bob,0
2018,25th PBR: Unleash the Beast,2018-02-11,"Kansas City, MO",CATERPILLAR CLASSIC,Cochise,0
2018,25th PBR: Unleash the Beast,2018-02-11,"Kansas City, MO",CATERPILLAR CLASSIC,Pile Driver,88.75
2018,25th PBR: Unleash the Beast,2018-02-10,"Kansas City, MO",CATERPILLAR CLASSIC,Detective Crockett,0
2018,25th PBR: Unleash the Beast,2018-02-03,"Anaheim, CA",ANAHEIM INVITATIONAL,Pearl Harbor,0
2018,25th PBR: Unleash the Beast,2018-02-03,"Anaheim, CA",ANAHEIM INVITATIONAL,War Party,87.75
2018,25th PBR: Unleash the Beast,2018-02-02,"Anaheim, CA",ANAHEIM INVITATIONAL,Cooper Tires Brown Sugar,0
2018,25th PBR: Unleash the Beast,2018-02-02,"Anaheim, CA",ANAHEIM INVITATIONAL,Wheeler's Heartbreaker,78.25
2018,25th PBR: Unleash the Beast,2018-01-28,"Sacramento, CA",WRANGLER LONG LIVE COWBOYS CLASSIC,Circuit Breaker,0
2018,25th PBR: Unleash the Beast,2018-01-27,"Sacramento, CA",WRANGLER LONG LIVE COWBOYS CLASSIC,Hurricane Hustler,0
2018,25th PBR: Unleash the Beast,2018-01-27,"Sacramento, CA",WRANGLER LONG LIVE COWBOYS CLASSIC 15/15,Speed Demon,0
2018,25th PBR: Unleash the Beast,2018-01-26,"Sacramento, CA",WRANGLER LONG LIVE COWBOYS CLASSIC,Reindiction,87.25
2018,25th PBR: Unleash the Beast,2018-01-21,"Oklahoma City, OK",OKLAHOMA CITY EXPRESS EMPLOYMENT PROFESSIONALS INVITATIONAL,Bad Beagle,0
