Year,Round,Winner,Loser,WRank,LRank,pl1_flag,pl1_year_pro,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_year_pro,pl2_weight,pl2_height,pl2_hand,rank_diff,rank_diff_cat,higher_rank_won
2017,Quarterfinals,Dimitrov G.,Goffin D.,15,11,BUL,2008,80,191,Right,BEL,2009,68,180,Right,4,Low,No
2017,Quarterfinals,Nadal R.,Raonic M.,9,3,ESP,2001,85,185,Left,CAN,2008,98,196,Right,6,Low,No
2017,Semifinals,Federer R.,Wawrinka S.,17,4,SUI,1998,85,185,Right,SUI,2002,81,183,Right,13,Low,No
2017,Semifinals,Nadal R.,Dimitrov G.,9,15,ESP,2001,85,185,Left,BUL,2008,80,191,Right,-6,Low,Yes
2017,The Final,Federer R.,Nadal R.,17,9,SUI,1998,85,185,Right,ESP,2001,85,185,Left,8,Low,No
2016,Quarterfinals,Federer R.,Berdych T.,3,6,SUI,1998,85,185,Right,CZE,2002,91,196,Right,-3,Low,Yes
2016,Quarterfinals,Djokovic N.,Nishikori K.,1,7,SRB,2003,77,188,Right,JPN,2007,75,178,Right,-6,Low,Yes
2016,Quarterfinals,Murray A.,Ferrer D.,2,8,GBR,2005,84,191,Right,ESP,2000,73,175,Right,-6,Low,Yes
2016,Quarterfinals,Raonic M.,Monfils G.,14,25,CAN,2008,98,196,Right,FRA,2004,80,193,Right,-11,Low,Yes
2016,Semifinals,Djokovic N.,Federer R.,1,3,SRB,2003,77,188,Right,SUI,1998,85,185,Right,-2,Low,Yes
2016,Semifinals,Murray A.,Raonic M.,2,14,GBR,2005,84,191,Right,CAN,2008,98,196,Right,-12,Low,Yes
