date,event,arena,city,fighter1,fighter2,result_type,judge1,judge1_score1,judge1_score2,judge2,judge2_score1,judge2_score2,judge3,judge3_score1,judge3_score2,winner,winner2,judge1_margin,judge2_margin,judge3_margin,judge1_perc,judge2_perc,judge3_perc,rounds,judge1_dev,judge2_dev,judge3_dev,judge1_out,judge2_out,judge3_out,agreement
2006-04-06,UFN 4: Ultimate Fight Night 4,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",Neer,Stevenson,Unanimous,Belardo,29,28,Hagen,29,28,Hamilton,29,28,Neer,fighter1,1,1,1,-3.57%,-3.57%,-3.57%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2006-04-06,UFN 4: Ultimate Fight Night 4,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",Fioravanti,Leben,Unanimous,Peoples,27,30,Porrata,27,30,Rosales,27,30,Leben,fighter2,-3,-3,-3,10.00%,10.00%,10.00%,3,0,0,0,fighter2,fighter2,fighter2,Agree
2006-04-06,UFN 4: Ultimate Fight Night 4,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",Von Flue,Cummo,Unanimous,Belardo,27,30,Hagen,26,30,Trowbridge,27,30,Cummo,fighter2,-3,-4,-3,10.00%,13.33%,10.00%,3,0.5,1,0.5,fighter2,fighter2,fighter2,Agree
2006-04-06,UFN 4: Ultimate Fight Night 4,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",Sonnen,Prangley,Unanimous,Hamilton,30,27,Peoples,30,27,Rosales,30,27,Sonnen,fighter1,3,3,3,-11.11%,-11.11%,-11.11%,3,0,0,0,fighter1,fighter1,fighter1,Agree
2006-04-08,Boxing: Mayweather vs. Judah,Thomas & Mack Center,"Las Vegas, Nevada, USA",Mayweather,Judah,Unanimous,Hamada,119,109,Moretti,116,112,Roth,117,111,Mayweather,fighter1,10,4,6,-9.17%,-3.57%,-5.41%,12,5,4,1,fighter1,fighter1,fighter1,Agree
2006-04-15,UFC 59: Reality Check,Arrowhead Pond of Anaheim,"Anaheim, California, USA",Diaz,Sherk,Unanimous,Belardo,27,30,Peoples,27,30,Rochin,27,30,Sherk,fighter2,-3,-3,-3,10.00%,10.00%,10.00%,3,0,0,0,fighter2,fighter2,fighter2,Agree
2006-04-15,UFC 59: Reality Check,Arrowhead Pond of Anaheim,"Anaheim, California, USA",Ortiz,Griffin,Split,Belardo,30,27,Hernandez,28,29,Peoples,29,27,Ortiz,fighter1,3,-1,2,-11.11%,3.45%,-7.41%,3,2.5,3.5,1,fighter1,fighter2,fighter1,judge2
2006-04-15,UFC 59: Reality Check,Arrowhead Pond of Anaheim,"Anaheim, California, USA",Cruz,Monson,Split,Belardo,27,30,Hernandez,28,29,Rochin,29,28,Monson,fighter2,-3,-1,1,10.00%,3.45%,-3.57%,3,3,0,3,fighter2,fighter2,fighter1,judge3
2006-05-27,UFC 60: Hughes vs Gracie,Staples Center,"Los Angeles, California, USA",Sanchez,Alessio,Unanimous,Bertrand,30,27,Peoples,29,28,Rochin,29,28,Sanchez,fighter1,3,1,1,-11.11%,-3.57%,-3.57%,3,2,1,1,fighter1,fighter1,fighter1,Agree
2006-06-09,Strikeforce: Revenge,HP Pavilion at San Jose,"San Jose, California, USA",Overeem,Belfort,Unanimous,Morrow,29,28,Stell,29,28,Thomas-Gitlin,30,27,Overeem,fighter1,1,1,3,-3.57%,-3.57%,-11.11%,3,1,1,2,fighter1,fighter1,fighter1,Agree
2006-06-09,Strikeforce: Revenge,HP Pavilion at San Jose,"San Jose, California, USA",Melendez,Guida,Split,Morrow,50,45,Schorle,46,48,Thomas-Gitlin,50,45,Melendez,fighter1,5,-2,5,-11.11%,4.17%,-11.11%,5,3.5,7,3.5,fighter1,fighter2,fighter1,judge2
