name,height,wingspan,wingspan_advantage
Lonzo BallCHI | PG,"6'5.25""","6'9""",3.75
Luguentz DortOKC | SG,"6'2.75""","6'8.5""",5.75
Luka DončićLAL | SF,"6'6.5""","6'11""",4.5
Luka GarzaMIN | C,"6'10""","7'1.5""",3.5
Luke KennardMEM | SG,"6'4.5""","6'5.25""",0.75
Luke KornetBOS | C,"7'1""","7'1""",0
Malachi Flynn | PG,"6'1""","6'3""",2
Malaki BranhamSAS | SG,"6'4""","6'10""",6
Malcolm BrogdonWAS | PG,"6'3.75""","6'10.5""",6.75
Malik BeasleyDET | SG,"6'3.5""","6'7""",3.5
Malik MonkSAC | SG,"6'2.25""","6'5""",2.75
MarJon BeauchampNYK | SG,"6'5.25""","7'0.75""",7.5
Marcus Morris Sr. | PF,"6'7""","6'10""",3
Marcus SasserDET | PG,"6'1.25""","6'7""",5.75
Marcus SmartWAS | PG,"6'2""","6'9.25""",7.25
Mark WilliamsCHA | C,"7'0""","7'6.5""",6.5
Markelle FultzSAC | PG,"6'3""","6'9""",6
Markieff MorrisLAL | C,"6'7.75""","6'10.75""",3
Markquis Nowell | PG,"5'8""","6'0""",4
Marvin Bagley IIIMEM | PF,"6'10.5""","7'0""",1.5
Mason PlumleePHX | C,"6'11.25""","6'11""",-0.25
Matas BuzelisCHI | PF,"6'8.75""","6'10""",1.25
Matisse ThybullePOR | SF,"6'5""","6'11.5""",6.5
Max ChristieDAL | SG,"6'4.25""","6'8.75""",4.5
Max StrusCLE | SG,"6'5""","6'7.5""",2.5
Maxi KleberLAL | C,"6'9.25""","6'10.75""",1.5
Maxwell LewisBKN | SG,"6'6.25""","7'0""",5.75
Michael Porter Jr.DEN | PF,"6'9.75""","7'0""",2.25
Mikal BridgesNYK | SF,"6'5.75""","7'1""",7.25
Mike ConleyMIN | PG,"5'11""","6'5.75""",6.75
Mike Muscala | C,"6'10.25""","7'1""",2.75
Miles BridgesCHA | SF,"6'5.25""","6'9.5""",4.25
Miles McBrideNYK | PG,"6'1""","6'8.75""",7.75
Mo Bamba | C,"6'11.25""","7'10""",10.75
Monte MorrisPHX | PG,"6'1.25""","6'4""",2.75
Moritz WagnerORL | C,"6'10""","7'0""",2
Moses Brown | C,"7'1.25""","7'4.75""",3.5
Moses MoodyGSW | SG,"6'4.5""","7'0.75""",8.25
Mouhamed GueyeATL | C,"6'10.25""","7'3.25""",5
Moussa DiabatéCHA | C,"6'9.25""","7'2.5""",5.25
Myles TurnerIND | C,"6'9.75""","7'4""",6.25
Naji MarshallDAL | SF,"6'5.75""","7'0.75""",7
Nassir Little | SF,"6'4.5""","7'1.25""",8.75
Nathan Knight | PF,"6'8""","7'2""",6
Naz ReidMIN | C,"6'8.75""","7'3.25""",6.5
Neemias QuetaBOS | C,"6'10.75""","7'4.25""",5.5
Nic ClaxtonBKN | C,"6'10""","7'2.5""",4.5
Nick RichardsPHX | C,"6'10.5""","7'2.25""",3.75
Nick Smith Jr.CHA | SG,"6'5""","6'8""",3
Nickeil Alexander-WalkerMIN | SG,"6'4.25""","6'9.5""",5.25
Nicolas BatumLAC | SF,"6'8.25""","7'1""",4.75
Nikola JokićDEN | C,"6'11.5""","7'3""",3.5
Nikola JovićMIA | PF,"6'9.5""","7'0.25""",2.75
Nikola VučevićCHI | C,"6'10.25""","7'4.5""",6.25
Noah ClowneyBKN | PF,"6'10""","7'2""",4
Norman PowellLAC | SG,"6'3""","6'10.75""",7.75
OG AnunobyNYK | SF,"6'6.25""","7'2.25""",8
Obi ToppinIND | PF,"6'8.75""","7'2""",5.25
Ochai AgbajiTOR | SG,"6'4.5""","6'10.25""",5.75
Olivier-Maxence ProsperDAL | PF,"6'6.75""","7'1""",6.25
Omer Yurtseven | C,"6'10.5""","7'1""",2.5
Onyeka OkongwuATL | C,"6'8.25""","7'2""",5.75
Orlando RobinsonTOR | C,"6'10""","7'4""",6
Oscar TshiebweUTA | C,"6'7.25""","7'3.5""",8.25
Oshae Brissett | PF,"6'7""","6'10""",3
Oso IghodaroPHX | C,"6'9.5""","6'11""",1.5
Otto Porter Jr. | PF,"6'7.5""","7'1.5""",6
Ousmane DiengOKC | SF,"6'9.5""","7'0""",2.5
P.J. TuckerNYK | PF,"6'4.5""","6'11.5""",7
P.J. WashingtonDAL | PF,"6'6.5""","7'2.5""",8
Pacome DadietNYK | SG,"6'7.5""","6'9""",1.5
Pacôme Dadiet | SG,"6'7.5""","6'9""",1.5
Paolo BancheroORL | PF,"6'9""","7'0.5""",3.5
Pascal SiakamIND | PF,"6'8.25""","7'3.25""",7
Pat ConnaughtonMIL | SG,"6'4""","6'8""",4
Patrick Baldwin Jr.LAC | PF,"6'9.25""","7'1.75""",4.5
Patrick Beverley | PG,"6'0.5""","6'7""",6.5
Patrick WilliamsCHI | SF,"6'7""","6'11""",4
Patty MillsLAC | PG,"5'11.25""","6'2""",2.75
Paul GeorgePHI | SF,"6'7.75""","6'11.25""",3.5
Paul ReedDET | PF,"6'9""","7'1.5""",4.5
Payton PritchardBOS | PG,"6'1""","6'4""",3
