"","edition","start_date","winner_name","winner_team","distance","time_overall","avg_speed","time_margin","seconds_margin","stage_wins","stages_led","height","weight","age","born","died","full_name","nickname","birth_town","birth_country","nationality"
"76",76,1989-07-01,"Greg LeMond","AD Renting–W-Cup–Bottecchia",3285,87.6430555555556,37.4815777379839,0.00222222222222222,7.99999999999999,3,8,1.78,67,28,1961-06-26,NA,"Gregory James LeMond","L’Americain, LeMonster","Lakewood","USA"," United States"
"77",77,1990-06-30,"Greg LeMond","Z–Tomasso",3504,90.7222222222222,38.6233925290876,0.0338888888888889,122,0,2,1.78,67,29,1961-06-26,NA,"Gregory James LeMond","L’Americain, LeMonster","Lakewood","USA"," United States"
"78",78,1991-07-06,"Miguel Induráin","Banesto",3914,101.022222222222,38.743950725913,0.0508333333333333,183,2,10,1.86,80,26,1964-07-16,NA,"Miguel Induráin Larraya","Miguelón, Big Mig (English)","Villava","Spain"," Spain"
"79",79,1992-07-04,"Miguel Induráin","Banesto",3983,100.825,39.5040912472105,0.0677777777777778,244,3,10,1.86,80,27,1964-07-16,NA,"Miguel Induráin Larraya","Miguelón, Big Mig (English)","Villava","Spain"," Spain"
"80",80,1993-07-03,"Miguel Induráin","Banesto",3714,95.9525,38.7066517287199,0.0677777777777778,244,2,14,1.86,80,28,1964-07-16,NA,"Miguel Induráin Larraya","Miguelón, Big Mig (English)","Villava","Spain"," Spain"
"81",81,1994-07-02,"Miguel Induráin","Banesto",3978,103.643888888889,38.3814235710954,0.0847222222222222,305,1,13,1.86,80,29,1964-07-16,NA,"Miguel Induráin Larraya","Miguelón, Big Mig (English)","Villava","Spain"," Spain"
"82",82,1995-07-01,"Miguel Induráin","Banesto",3635,92.7497222222222,39.1914920380115,0.0677777777777778,244,2,13,1.86,80,30,1964-07-16,NA,"Miguel Induráin Larraya","Miguelón, Big Mig (English)","Villava","Spain"," Spain"
"83",83,1996-06-29,"Bjarne Riis","Team Telekom",3765,95.9544444444444,39.2373695851041,0.0169444444444444,60.9999999999998,2,13,1.84,71,32,1964-04-03,NA,"Bjarne Lykkegård Riis","Ørnen fra Herning
(The Eagle from Herning)","Herning","Denmark"," Denmark"
"84",84,1997-07-05,"Jan Ullrich","Team Telekom",3950,100.509722222222,39.299680793732,0.1525,549,2,12,1.83,73,23,1973-12-02,NA,NA,"Der Kaiser, Der Jan, Der Junge, The Yoyo","Rostock","Germany"," Germany"
"85",85,1998-07-11,"Marco Pantani","Mercatone Uno–Bianchi",3875,92.8294444444444,41.7432208410885,0.0508333333333333,183,2,7,1.72,57,28,1970-01-13,2004-02-14,NA,"Il Pirata (The pirate), Elefantino (The little elephant)","Cesena","Italy"," Italy"
"86",86,1999-07-03,"Lance Armstrong","U.S. Postal Service",3687,91.5377777777778,40.2784521266265,0.118611111111111,427,4,15,1.77,75,27,1971-09-18,NA,"Lance Edward Armstrong","Le Boss, Big Tex","Plano","USA"," United States"
"87",87,2000-07-01,"Lance Armstrong","U.S. Postal Service",3662,92.5522222222222,39.5668511471001,0.101666666666667,366.000000000001,1,12,1.77,75,28,1971-09-18,NA,"Lance Edward Armstrong","Le Boss, Big Tex","Plano","USA"," United States"
"88",88,2001-07-07,"Lance Armstrong","U.S. Postal Service",3458,86.2911111111111,40.0736524941413,0.101666666666667,366.000000000001,4,8,1.77,75,29,1971-09-18,NA,"Lance Edward Armstrong","Le Boss, Big Tex","Plano","USA"," United States"
"89",89,2002-07-06,"Lance Armstrong","U.S. Postal Service",3272,82.0866666666667,39.8603102412085,0.118611111111111,427,4,11,1.77,75,30,1971-09-18,NA,"Lance Edward Armstrong","Le Boss, Big Tex","Plano","USA"," United States"
"90",90,2003-07-05,"Lance Armstrong","U.S. Postal Service",3427,83.6866666666667,40.9503704293794,0.0169444444444444,60.9999999999998,1,13,1.77,75,31,1971-09-18,NA,"Lance Edward Armstrong","Le Boss, Big Tex","Plano","USA"," United States"
"91",91,2004-07-03,"Lance Armstrong","U.S. Postal Service",3391,83.6005555555555,40.5619314066228,0.101666666666667,366.000000000001,5,7,1.77,75,32,1971-09-18,NA,"Lance Edward Armstrong","Le Boss, Big Tex","Plano","USA"," United States"
"92",92,2005-07-02,"Lance Armstrong","Discovery Channel",3593,86.2505555555556,41.6577026879054,0.0677777777777778,244,1,17,1.77,75,33,1971-09-18,NA,"Lance Edward Armstrong","Le Boss, Big Tex","Plano","USA"," United States"
"93",93,2006-07-01,"Óscar Pereiro","Caisse d'Epargne–Illes Balears",3657,89.6741666666667,40.780975568958,0.00888888888888889,32,0,8,1.77,68,28,1977-08-03,NA,"Óscar Pereiro Sío",NA,"Mos","Spain"," Spain"
"94",94,2007-07-07,"Alberto Contador","Discovery Channel",3570,91.0072222222222,39.2276559247435,0.00638888888888889,23,1,4,1.76,62,24,1982-12-06,NA,"Alberto Contador Velasco","El Pistolero","Pinto","Spain"," Spain"
"95",95,2008-07-05,"Carlos Sastre","Team CSC",3559,87.8811111111111,40.4978948832387,0.0161111111111111,58,1,5,1.73,60,33,1975-04-22,NA,"Carlos Sastre Candil",NA,"Leganés","Spain"," Spain"
"96",96,2009-07-04,"Alberto Contador","Astana",3459,85.8097222222222,40.3101176699092,0.0677777777777778,244,2,7,1.76,62,26,1982-12-06,NA,"Alberto Contador Velasco","El Pistolero","Pinto","Spain"," Spain"
"97",97,2010-07-03,"Andy Schleck","Team Saxo Bank",3642,91.9908333333333,39.5909012673364,0.0169444444444444,60.9999999999998,2,12,1.86,68,25,1985-06-10,NA,"Andy Raymond Schleck",NA,"Luxembourg City","Luxembourg"," Luxembourg"
"98",98,2011-07-02,"Cadel Evans","BMC Racing Team",3430,86.2061111111111,39.7883625161918,0.0169444444444444,60.9999999999998,1,2,1.74,64,34,1977-02-14,NA,"Cadel Lee Evans",NA,"Katherine","Australia"," Australia"
"99",99,2012-06-20,"Bradley Wiggins","Team Sky",3496,87.5797222222222,39.9179160574334,0.0508333333333333,183,2,14,1.9,69,32,1980-04-28,NA,"Bradley Marc Wiggins","Wiggo","Ghent","Belgium"," Great Britain"
"100",100,2013-06-29,"Chris Froome","Team Sky",3404,83.9388888888889,40.553312595142,0.0677777777777778,244,3,14,1.86,69,28,1985-05-20,NA,"Christopher Clive Froome","Froomey","Nairobi","Kenya"," Great Britain"
"101",101,2014-07-05,"Vincenzo Nibali","Astana",3660.5,89.985,40.6790020558982,0.118611111111111,427,4,19,1.8,65,29,1984-11-14,NA,NA,"Lo Squalo (The Shark), 'il Roditore' (The Nibbler)","Messina","Italy"," Italy"
"102",102,2015-07-04,"Chris Froome","Team Sky",3360.3,84.7705555555556,39.6399431144199,0.0169444444444444,60.9999999999998,1,16,1.86,69,30,1985-05-20,NA,"Christopher Clive Froome","Froomey","Nairobi","Kenya"," Great Britain"
"103",103,2016-07-02,"Chris Froome","Team Sky",3529,89.08,39.6160754378087,0.0677777777777778,244,2,14,1.86,69,31,1985-05-20,NA,"Christopher Clive Froome","Froomey","Nairobi","Kenya"," Great Britain"
"104",104,2017-07-01,"Chris Froome","Team Sky",3540,86.3486111111111,40.996606134693,0.015,54,0,15,1.86,69,32,1985-05-20,NA,"Christopher Clive Froome","Froomey","Nairobi","Kenya"," Great Britain"
"105",105,2018-07-07,"Geraint Thomas","Team Sky",3349,83.2869444444444,40.2103837803044,0.0169444444444444,60.9999999999998,2,11,1.83,71,32,1986-05-25,NA,"Geraint Howell Thomas","G","Cardiff","Wales"," Great Britain"
"106",106,2019-07-06,"Egan Bernal","Team Ineos",3349,82.95,40.3737191078963,0.0169444444444444,60.9999999999998,0,2,1.75,60,22,1997-01-13,NA,"Egan Arley Bernal Gómez",NA,"Bogotá","Columbia"," Colombia"
