player,pos,age,tm,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,ortg,drtg
Zylan Cheatham,SF,26,UTA,1,0,5,0,29.7,0,0,19.8,0,0,9.9,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,120
Chris Chiozza,PG,26,GSW,34,1,372,3.1,10.6,0.296,2.2,6.9,0.321,0.9,3.7,0.25,0.3,0.4,0.667,1.2,3.5,4.7,8.5,1.7,0,4.2,4.2,8.8,88,110
Marquese Chriss,PF,24,DAL,34,0,346,9,19.5,0.463,1.2,3.6,0.32,7.9,15.9,0.495,3.2,4.8,0.667,4.8,10.2,15,2.5,1.9,1.7,2.5,9.3,22.4,107,105
Josh Christopher,SG,20,HOU,74,2,1334,8,17.8,0.448,2,6.7,0.296,6,11.1,0.54,3,4,0.735,1.9,4.8,6.6,5.4,2.3,0.5,4.1,3.5,20.9,101,117
Gary Clark,PF,27,NOP,38,1,378,4.3,11.5,0.375,3.7,9.1,0.4,0.7,2.4,0.278,0.9,1.3,0.7,3,8.7,11.8,2.4,1.7,0.9,1.3,2.6,13.2,116,112
Brandon Clarke,PF,25,MEM,64,1,1246,11.1,17.2,0.644,0.2,0.8,0.227,10.9,16.3,0.666,3.3,5,0.654,5.2,7.9,13.1,3.3,1.5,2.6,1.3,4.7,25.6,138,108
Jordan Clarkson,SG,29,UTA,79,1,2141,10.8,25.7,0.419,4.4,13.8,0.318,6.4,11.9,0.535,3.3,4,0.828,1.5,4.8,6.3,4.5,1.5,0.4,3,3.4,29.2,108,113
Nic Claxton,C,22,BRK,47,19,974,8.9,13.1,0.674,0,0,NA,8.9,13.1,0.674,2.7,4.6,0.581,4.5,8.6,13.1,2.1,1.2,2.5,1.9,5.5,20.4,130,111
Amir Coffey,SG,24,LAC,69,30,1567,6.6,14.6,0.453,3,7.9,0.378,3.6,6.6,0.542,3.2,3.7,0.863,0.8,5.3,6.2,3.9,1.2,0.5,1.4,2.7,19.4,120,113
John Collins,PF,24,ATL,54,53,1663,10,19,0.526,1.9,5.2,0.364,8.1,13.8,0.588,4,5,0.793,2.7,9.7,12.5,2.9,1,1.7,1.8,4.8,25.9,122,114
Zach Collins,C,24,SAS,28,4,502,7.3,14.8,0.49,1.3,3.9,0.341,5.9,10.9,0.544,5,6.2,0.8,4.4,10.2,14.6,5.8,1.2,2.2,4.3,6.4,20.8,112,109
Darren Collison,PG,34,LAL,3,0,37,2.6,9.1,0.286,0,3.9,0,2.6,5.2,0.5,0,0,NA,0,5.2,5.2,2.6,1.3,0,1.3,6.5,5.2,65,116
Mike Conley,PG,34,UTA,72,72,2058,8.3,19,0.435,4.1,9.9,0.408,4.2,9.1,0.464,3.1,3.9,0.796,1.1,4.1,5.2,9.2,2.3,0.5,3,3.4,23.7,120,111
Pat Connaughton,SF,29,MIL,65,19,1691,6.4,14.1,0.458,4.1,10.5,0.395,2.3,3.6,0.643,1.3,1.5,0.833,1.3,6.5,7.8,2.3,1.7,0.4,1,2.4,18.3,124,113
Tyler Cook,PF,24,CHI,20,2,200,5.6,9.3,0.605,0,0,NA,5.6,9.3,0.605,5.1,7.8,0.656,3.9,9,12.9,0.7,1,1,1.7,6.8,16.4,126,113
Sharife Cooper,PG,20,ATL,13,0,39,3.8,17.6,0.214,1.3,7.6,0.167,2.5,10.1,0.25,0,0,NA,0,6.3,6.3,6.3,0,0,6.3,1.3,8.8,53,120
Petr Cornelie,PF,26,DEN,13,0,38,6.5,19.4,0.333,1.3,10.3,0.125,5.2,9,0.571,3.9,5.2,0.75,9,9,18.1,3.9,1.3,1.3,5.2,9,18.1,93,111
DeMarcus Cousins,C,31,TOT,48,7,718,10.1,21.9,0.46,2.5,8.3,0.303,7.6,13.7,0.554,6.4,8.5,0.76,5,13.3,18.3,4.8,2.4,1.4,5.8,9.4,29.1,105,106
DeMarcus Cousins,C,31,MIL,17,5,287,9.2,19.7,0.466,2.2,8,0.271,7,11.7,0.6,5.2,6.4,0.816,4,12.4,16.4,3,2.7,1.3,2.7,7.7,25.8,115,105
DeMarcus Cousins,C,31,DEN,31,2,431,10.7,23.4,0.456,2.7,8.4,0.324,8,15,0.53,7.3,9.9,0.736,5.7,13.9,19.6,6,2.2,1.5,7.9,10.6,31.4,101,106
Robert Covington,PF,31,TOT,71,42,1940,5.3,12.6,0.42,3.2,8.5,0.378,2,4,0.509,1.5,1.7,0.841,1.5,8.4,9.9,2.3,2.6,2.3,1.9,4.8,15.2,108,110
Robert Covington,PF,31,POR,48,40,1431,4.4,11.5,0.381,2.7,7.9,0.343,1.7,3.6,0.462,1,1.2,0.833,1.4,8,9.4,2.3,2.5,2.2,2,4.5,12.5,100,113
Robert Covington,PF,31,LAC,23,2,509,7.8,15.6,0.5,4.7,10.5,0.45,3.1,5.1,0.604,2.7,3.2,0.848,1.7,9.5,11.3,2.3,2.8,2.7,1.6,5.6,23,127,104
Torrey Craig,SF,31,TOT,78,16,1596,6.1,13.4,0.454,2.3,7.1,0.329,3.8,6.3,0.594,1.2,1.6,0.75,2.6,6.8,9.5,2.8,1.4,1.1,2,4.6,15.7,110,113
Torrey Craig,SF,31,IND,51,14,1034,6.1,13.3,0.456,2.2,6.5,0.333,3.9,6.8,0.573,1.3,1.7,0.771,2.8,6.4,9.2,2.7,1.1,0.9,1.8,4.5,15.6,112,117
Torrey Craig,SF,31,PHO,27,2,562,6.2,13.7,0.45,2.7,8.2,0.323,3.5,5.5,0.641,1,1.5,0.706,2.3,7.5,9.8,2.8,1.9,1.5,2.4,4.8,16,106,106
Jae Crowder,PF,31,PHO,67,67,1886,5.5,13.9,0.399,3.2,9.3,0.348,2.3,4.6,0.503,1.8,2.3,0.789,0.8,8.3,9,3.2,2.4,0.8,1.4,4.4,16.1,109,105
Jarrett Culver,SG,22,MEM,37,0,338,7.2,19.1,0.378,1.7,6.7,0.255,5.5,12.5,0.443,2.3,4.8,0.471,1.8,5,6.8,4.7,2.8,0.7,2.8,5.9,18.4,93,109
Jarron Cumberland,SG,24,POR,3,0,12,4.1,8.1,0.5,0,4.1,0,4.1,4.1,1,0,0,NA,4.1,8.1,12.2,4.1,0,0,0,8.1,8.1,136,121
Cade Cunningham,SG,20,DET,64,64,2088,10,24.1,0.416,2.7,8.5,0.314,7.4,15.6,0.472,3.3,3.9,0.845,1.4,6.9,8.3,8.3,1.8,1,5.5,4.7,26,96,113
Seth Curry,SG,31,TOT,64,64,2135,8.3,17.1,0.487,3.7,8.7,0.422,4.7,8.5,0.553,1.9,2.2,0.872,0.5,4.1,4.6,5.3,1.2,0.3,2.5,3.4,22.3,115,115
Seth Curry,SG,31,PHI,45,45,1566,8.2,16.8,0.485,3.2,8,0.4,5,8.9,0.561,2,2.3,0.877,0.5,4.3,4.8,5.8,1.1,0.4,2.7,3.2,21.5,113,115
Seth Curry,SG,31,BRK,19,19,569,8.9,18,0.493,4.9,10.6,0.468,3.9,7.4,0.529,1.5,1.8,0.857,0.3,3.8,4.2,4.2,1.4,0.3,2.1,4,24.2,121,116
Stephen Curry,PG,33,GSW,64,64,2211,11.8,27,0.437,6.3,16.5,0.38,5.5,10.5,0.527,6.1,6.6,0.923,0.7,6.6,7.4,8.9,1.9,0.5,4.5,2.9,35.9,115,108
Anthony Davis,C,28,LAL,40,40,1404,12.6,23.7,0.532,0.4,2.4,0.186,12.2,21.3,0.571,5.9,8.3,0.713,3.6,9.8,13.5,4.2,1.7,3.1,2.8,3.3,31.6,115,109
Ed Davis,C,32,CLE,31,3,201,2.7,4,0.688,0,0,NA,2.7,4,0.688,1.5,3.5,0.429,3.5,12.4,15.9,1.7,0.7,2.2,1.2,8.2,7,126,106
Terence Davis,SG,24,SAC,30,11,536,10.1,24,0.423,4.4,13.4,0.329,5.7,10.6,0.542,3.2,3.9,0.818,1,7.5,8.4,3.6,2.2,1,3,6.3,27.9,103,113
Gabriel Deck,PF,26,OKC,7,0,56,7,12.2,0.571,1.7,3.5,0.5,5.2,8.7,0.6,0,0,NA,0.9,4.3,5.2,4.3,0.9,0,1.7,1.7,15.7,121,117
Dewayne Dedmon,C,32,MIA,67,15,1065,7.7,13.6,0.566,0.9,2.2,0.404,6.8,11.4,0.597,3.5,4.7,0.75,4.9,13.2,18.1,2.2,1.1,2,3.3,8.2,19.8,117,105
Sam Dekker,PF,27,TOR,1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,120
Javin DeLaurier,C,23,MIL,1,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,16,16,0,16,0,0,16,0,NA,74
DeMar DeRozan,PF,32,CHI,76,76,2743,13.8,27.3,0.504,0.9,2.5,0.352,12.9,24.8,0.52,9.3,10.6,0.877,1,6,7,6.7,1.2,0.4,3.2,3.2,37.7,117,115
Mamadi Diakite,PF,25,OKC,13,3,188,6.5,12.2,0.532,0,1.3,0,6.5,10.9,0.595,1.6,2.9,0.545,4.4,10.9,15.3,0.5,1.3,2.3,1.8,8.6,14.5,107,109
Cheick Diallo,C,25,DET,3,0,31,4.7,12.6,0.375,0,0,NA,4.7,12.6,0.375,7.9,9.4,0.833,6.3,12.6,18.9,0,1.6,0,1.6,9.4,17.3,115,111
Hamidou Diallo,SG,23,DET,58,29,1269,10,20.2,0.496,0.9,3.6,0.247,9.2,16.6,0.55,3.5,5.4,0.65,2.7,8,10.7,2.8,2.7,0.7,2.2,5.5,24.5,107,111
Gorgui Dieng,C,32,ATL,44,3,371,7,14.8,0.473,3.8,9,0.426,3.2,5.8,0.545,2.5,3.4,0.731,4.2,11.8,16,4.5,1.5,1.7,2.6,6.9,20.4,123,111
Spencer Dinwiddie,PG,28,TOT,67,51,1980,7.7,18.5,0.416,2.8,8.3,0.339,4.9,10.2,0.479,4.9,6.3,0.774,1.1,5.9,7,8.7,1.1,0.3,2.6,3.8,23.1,114,115
Spencer Dinwiddie,PG,28,WAS,44,44,1330,6.9,18.3,0.376,2.6,8.4,0.31,4.3,9.9,0.432,4.3,5.3,0.811,1.3,6.4,7.7,9.5,1,0.3,2.7,4,20.7,109,117
Spencer Dinwiddie,PG,28,DAL,23,7,650,9.4,18.8,0.498,3.3,8.1,0.404,6.1,10.8,0.568,6.1,8.4,0.725,0.7,4.9,5.6,7,1.3,0.5,2.4,3.3,28.1,124,112
Donte DiVincenzo,SG,25,TOT,42,1,1006,5.6,16.1,0.351,3.5,10.4,0.339,2.1,5.6,0.373,3.3,4,0.843,1.9,6.2,8.1,5.6,2.3,0.4,3.4,3.3,18.2,102,113
Donte DiVincenzo,SG,25,MIL,17,0,341,5.5,16.6,0.331,3,10.4,0.284,2.5,6.2,0.409,3.2,3.8,0.852,2.5,5.9,8.5,4.1,1.5,0.4,3.9,3.7,17.2,94,113
Donte DiVincenzo,SG,25,SAC,25,1,665,5.7,15.8,0.362,3.8,10.4,0.368,1.9,5.4,0.351,3.4,4.1,0.839,1.6,6.4,8,6.4,2.7,0.4,3.2,3.1,18.7,106,114
Luka Dončić,PG,22,DAL,65,65,2301,14,30.7,0.457,4.4,12.4,0.353,9.6,18.2,0.528,8,10.7,0.744,1.2,11.7,13,12.4,1.6,0.8,6.4,3.2,40.4,110,107
Luguentz Dort,SG,22,OKC,51,51,1665,8.6,21.2,0.404,3.8,11.4,0.332,4.8,9.8,0.487,4.7,5.6,0.843,1.1,5.1,6.2,2.6,1.3,0.5,2.6,4.4,25.7,104,115
Ayo Dosunmu,SG,22,CHI,77,40,2110,6.4,12.4,0.52,1.6,4.3,0.376,4.8,8.1,0.596,1.2,1.8,0.679,0.6,4.3,5,5.9,1.4,0.7,2.5,4.2,15.7,113,115
Damyean Dotson,SG,27,NYK,2,0,21,4.8,9.5,0.5,0,2.4,0,4.8,7.1,0.667,0,0,NA,0,4.8,4.8,2.4,0,0,0,0,9.5,113,117
Devon Dotson,PG,22,CHI,11,0,85,6.3,13.2,0.478,1.1,5.2,0.222,5.2,8,0.643,2.9,5.2,0.556,0.6,4.6,5.2,8.6,0.6,0,2.9,6.3,16.7,109,118
Sekou Doumbouya,PF,21,LAL,2,0,16,15,24,0.625,3,6,0.5,12,18,0.667,9,12,0.75,6,12,18,0,9,6,6,3,41.9,117,87
Jeff Dowtin,PG,24,TOT,9,0,108,3.6,11.7,0.308,0.4,4,0.111,3.1,7.6,0.412,0.9,0.9,1,3.6,4.5,8.1,4.5,2.2,0.4,2.2,2.2,8.5,87,112
Jeff Dowtin,PG,24,GSW,4,0,28,5.2,10.4,0.5,0,1.7,0,5.2,8.7,0.6,0,0,NA,1.7,10.4,12.2,5.2,0,1.7,1.7,3.5,10.4,108,108
Jeff Dowtin,PG,24,MIL,1,0,3,0,16,0,0,16,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,121
Jeff Dowtin,PG,24,ORL,4,0,77,3.1,11.9,0.263,0.6,4.4,0.143,2.5,7.5,0.333,1.3,1.3,1,4.4,2.5,6.9,4.4,3.1,0,2.5,1.9,8.2,84,113
PJ Dozier,SG,25,DEN,18,0,340,5.2,14.3,0.364,2.2,6.9,0.313,3,7.4,0.412,1.4,1.9,0.769,2,7.1,9.1,4.2,1.6,0.9,1.9,4.8,14,100,112
Goran Dragić,PG,35,TOT,21,8,498,5.6,14.8,0.377,1.6,6.2,0.254,4,8.6,0.466,2.6,3.2,0.818,1.3,5.1,6.4,8.4,1.9,0.4,3.3,4.4,15.4,102,114
Goran Dragić,PG,35,TOR,5,2,90,7.2,18.9,0.382,2.2,7.8,0.286,5,11.1,0.45,5.6,5.6,1,1.1,6.7,7.8,5,2.8,0.6,0.6,4.4,22.2,122,109
Goran Dragić,PG,35,BRK,16,6,408,5.2,13.9,0.376,1.4,5.8,0.245,3.8,8.1,0.471,2,2.7,0.739,1.3,4.8,6.1,9.1,1.7,0.4,3.9,4.4,13.9,98,115
Andre Drummond,C,28,TOT,73,36,1437,8.5,14.9,0.57,0,0.1,0,8.5,14.8,0.574,3,5.6,0.524,7.9,15.5,23.4,4.5,2.7,2.3,3.9,6.6,19.9,114,102
Andre Drummond,C,28,PHI,49,12,902,7.1,13.2,0.538,0,0.1,0,7.1,13,0.542,2.3,4.5,0.512,7.5,16.4,23.9,5.4,3.1,2.5,4.4,6.7,16.5,110,100
Andre Drummond,C,28,BRK,24,24,535,10.8,17.7,0.61,0,0.1,0,10.8,17.6,0.613,4,7.4,0.537,8.4,14,22.4,3.1,2,2.1,3.3,6.4,25.6,121,106
