player,level,gender,division,team_name,Turns,Ds,Assists,Points,plus_minus,team_games,turns_per_game,ds_per_game,ast_per_game,pts_per_game,pls_mns_per_game
Julius Cohen,Division 1,Men,Division 1 Men,Michigan Magnum,9,3,3,1,-2,5,1.8,0.6,0.6,0.2,-0.4
Julia Giesenhagen,Division 1,Women,Division 1 Women,Colorado State Helle's Belles,3,0,1,0,-2,5,0.6,0,0.2,0,-0.4
Jonah Tannen,Division 3,Men,Division 3 Men,Carleton CHOP,9,0,4,3,-2,6,1.5,0,0.666666667,0.5,-0.333333333
Jill Analla,Division 3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333
Jade Bing Zalaznik,Division 3,Women,Division 3 Women,Middlebury Pranksters,5,1,0,2,-2,5,1,0.2,0,0.4,-0.4
Jackson Forebaugh,Division 3,Men,Division 3 Men,St Olaf Berzerkers,2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333
Jack Huysmans,Division 3,Men,Division 3 Men,Bates Orange Whip,3,0,0,1,-2,6,0.5,0,0,0.166666667,-0.333333333
Iris Wiedmann,Division 1,Women,Division 1 Women,SUNY - Binghamton Big Bear,2,0,0,0,-2,5,0.4,0,0,0,-0.4
Holly Frank,Division 3,Women,Division 3 Women,Occidental WAC,2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333
Hannah Omodt,Division 3,Women,Division 3 Women,St Olaf Vortex,8,1,5,0,-2,5,1.6,0.2,1,0,-0.4
Griffin O'Neal-Freeman,Division 3,Men,Division 3 Men,Oberlin Flying Horsecows,20,6,10,2,-2,6,3.333333333,1,1.666666667,0.333333333,-0.333333333
Greta Wilbur,Division 3,Women,Division 3 Women,Lewis & Clark Artemis,5,0,0,3,-2,5,1,0,0,0.6,-0.4
Erin Ries-Juncker,Division 3,Women,Division 3 Women,Lewis & Clark Artemis,2,0,0,0,-2,5,0.4,0,0,0,-0.4
Erin Durkin,Division 3,Women,Division 3 Women,Grinnell Grinneleanor Roosevelts,16,8,1,5,-2,6,2.666666667,1.333333333,0.166666667,0.833333333,-0.333333333
Erik Arnold,Division 1,Men,Division 1 Men,Vermont Chill,2,0,0,0,-2,5,0.4,0,0,0,-0.4
Emma Remien,Division 1,Women,Division 1 Women,Michigan Flywheel,7,3,1,1,-2,5,1.4,0.6,0.2,0.2,-0.4
Emily Lanegraff,Division 3,Women,Division 3 Women,Carleton Eclipse,3,0,0,1,-2,6,0.5,0,0,0.166666667,-0.333333333
Elliot Trimbur,Division 1,Men,Division 1 Men,Oregon State Beavers,3,0,0,1,-2,5,0.6,0,0,0.2,-0.4
Ellie Martin-Tai,Division 1,Women,Division 1 Women,Western Washington Chaos,3,1,0,0,-2,5,0.6,0.2,0,0,-0.4
Elena Korch,Division 1,Women,Division 1 Women,Western Washington Chaos,6,3,0,1,-2,5,1.2,0.6,0,0.2,-0.4
Deborah Lancaster,Division 3,Women,Division 3 Women,Union Jillz,2,0,0,0,-2,6,0.333333333,0,0,0,-0.333333333
Dayna Templeton,Division 3,Women,Division 3 Women,Davenport Panthers,4,2,0,0,-2,5,0.8,0.4,0,0,-0.4
Danielle Weatherwax,Division 1,Women,Division 1 Women,California - San Diego D-Co,2,0,0,0,-2,5,0.4,0,0,0,-0.4
