"","fighter_name","Height","Weight","Reach","Stance","Birthyear","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg"
"1660","Aiemann Zahabi",68,135,68,"Orthodox",1987,2.82,40,3.91,65,0.33,16,72,0
"1661","Elizeu Zaleski dos Santos",71,170,73,"Orthodox",1986,4.05,39,3.07,59,0.57,17,52,0.5
"1662","Youssef Zalal",70,145,72,"Switch",1996,2.45,51,1.56,64,2.4,40,56,1.4
"1663","Zach Zane",67,145,69,"Southpaw",1989,0.87,56,6.67,20,0,0,26,0
"1664","David Zawada",72,170,75,"Orthodox",1990,3.24,40,4.07,54,0.96,30,57,2.2
"1665","Zhang Lipeng",71,155,71,"Southpaw",1990,1.28,48,1.88,53,1.75,30,69,0.8
"1666","Yao Zhikui",65,125,64,"Orthodox",1991,1.44,21,2.82,48,0.66,16,58,0
"1667","Zhang Weili",64,115,63,"Switch",1989,6.38,45,4.43,53,1.26,23,100,0.5
"1668","Zhalgas Zhumagulov",64,125,66,"Switch",1988,4.17,49,4,58,1.5,21,33,0
"1669","Fares Ziam",73,155,75,"Orthodox",1997,1.9,47,1.37,66,0.5,11,65,0
"1670","Cat Zingano",66,145,68,"Southpaw",1982,2.57,61,1.63,47,2.77,65,42,0.8
"1671","Zhang Tiequan",68,155,69,"Orthodox",1978,1.23,36,2.14,51,1.95,58,75,3.4
"1672","Allan Zuniga",67,155,70,"Orthodox",1992,3.93,52,1.8,61,0,0,57,1
"1673","Virgil Zwicker",74,205,74,"",1982,3.34,48,4.87,39,1.31,30,50,0
