name,team,position,height_inches,wingspan_inches,wingspan_advantage,g,mp,pts,orb,drb,trb,ast,stl,blk,o_rtg,d_rtg,e_fg_percent,ft_percent,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,dunk_rate
Trey Murphy III,NOP,SF,79.5,84,4.5,53,1854,29.4,1.2,5.8,7,4.9,1.5,1,118,121,0.548,0.887,0.454,16.6,0.478,0.522,0.556,0.361,0.093
Tristan Da Silva,ORL,PF,80.25,82.25,2,74,1629,16.3,2.2,5.3,7.5,3.5,1,0.6,109,113,0.495,0.873,0.412,15.1,0.505,0.495,0.488,0.335,0.062
Ty Jerome,CLE,PG,76.25,76,-0.25,70,1392,30.3,1.7,4.3,6,8.2,2.7,0.1,128,113,0.606,0.872,0.516,15.6,0.591,0.409,0.57,0.439,0
TyTy Washington Jr.,PHX,PG,74.25,80,5.75,16,118,14.7,1.7,3.8,5.4,6.7,1.3,0,92,123,0.356,0.5,0.311,17.4,0.533,0.467,0.417,0.19,0
Tyler Herro,MIA,SG,76.5,75.25,-1.25,77,2725,33.7,0.6,6.7,7.3,7.8,1.3,0.3,117,115,0.563,0.878,0.472,16.7,0.514,0.486,0.565,0.375,0.008
Tyler Kolek,NYK,PG,73.25,74.75,1.5,41,296,13.6,1.3,3.2,4.5,11.7,2,0.7,109,116,0.415,0.765,0.329,17.2,0.427,0.573,0.371,0.298,0
Tyler Smith,MIL,PF,81,85,4,23,122,26.6,2.4,7.5,9.9,1.6,1.2,1.6,110,113,0.61,0.75,0.48,17.2,0.4,0.6,0.55,0.433,0.08
Tyrese Haliburton,IND,PG,76.75,79.75,3,73,2451,26.6,0.8,4.2,5.1,13.2,2.1,1,131,115,0.582,0.851,0.473,19.3,0.441,0.559,0.581,0.388,0.024
Tyrese Maxey,PHI,PG,74,79,5,52,1960,34.4,0.4,4,4.4,8,2.3,0.5,114,119,0.511,0.879,0.437,15.1,0.562,0.438,0.515,0.337,0.014
Tyus Jones,PHX,PG,72.5,77,4.5,81,2174,18.9,0.9,3.5,4.5,9.8,1.6,0.2,124,122,0.57,0.895,0.448,18.3,0.413,0.587,0.496,0.414,0
Vasilije Micić,PHX,PG,76,79,3,41,785,16.9,1.3,4.3,5.6,8,0.9,0,92,121,0.43,0.829,0.348,17,0.542,0.458,0.338,0.36,0
Victor Wembanyama,SAS,C,88,96,8,46,1527,35.3,2.6,13.4,16,5.3,1.6,5.6,109,108,0.559,0.836,0.476,17,0.53,0.47,0.586,0.352,0.114
Vince Williams Jr.,MEM,SG,76,83,7,27,499,16.7,2,7.1,9.1,5.1,1.1,0.7,104,115,0.479,0.792,0.401,16.9,0.431,0.569,0.569,0.274,0.012
