FavScore,Favorite,Pts,Underdog,DogScore,FavCover,FavDiff,FavWin,HomeDog,HomeScore,AwayScore,HomePts,HomeCover,HomeDiff,HomeWin,Week,Year
30,Miami,8.5,NY Jets,0,1,30,1,0,30,0,8.5,1,30,1,15,2023
24,New Orleans,4.5,NY Giants,6,1,18,1,0,24,6,4.5,1,18,1,15,2023
27,Kansas City,9.5,New England,17,1,10,1,1,17,27,-9.5,0,-10,0,15,2023
28,LA Rams,6.5,Washington,20,1,8,1,0,28,20,6.5,1,8,1,15,2023
45,San Francisco,13.5,Arizona,29,1,16,1,1,29,45,-13.5,0,-16,0,15,2023
31,Buffalo,2.5,Dallas,10,1,21,1,0,31,10,2.5,1,21,1,15,2023
23,Baltimore,2.5,Jacksonville,7,1,16,1,1,7,23,-2.5,0,-16,0,15,2023
17,Philadelphia,3.5,Seattle,20,0,-3,0,1,20,17,-3.5,1,3,1,15,2023
30,LA Rams,4.5,New Orleans,22,1,8,1,0,30,22,4.5,1,8,1,16,2023
11,Cincinnati,2.5,Pittsburgh,34,0,-23,0,1,34,11,-2.5,1,23,1,16,2023
24,Buffalo,13.5,LA Chargers,22,0,2,1,1,22,24,-13.5,1,-2,0,16,2023
10,Indianapolis,2.5,Atlanta,20,0,-10,0,1,20,10,-2.5,1,10,1,16,2023
20,Seattle,2.5,Tennessee,17,1,3,1,1,17,20,-2.5,0,-3,0,16,2023
30,Detroit,3.5,Minnesota,24,1,6,1,1,24,30,-3.5,0,-6,0,16,2023
30,NY Jets,3.5,Washington,28,0,2,1,0,30,28,3.5,0,2,1,16,2023
33,Green Bay,4.5,Carolina,30,0,3,1,1,30,33,-4.5,1,-3,0,16,2023
22,Houston,2.5,Cleveland,36,0,-14,0,0,22,36,2.5,0,-14,0,16,2023
12,Jacksonville,0.5,Tampa Bay,30,0,-18,0,1,30,12,-0.5,1,18,1,16,2023
27,Chicago,4.5,Arizona,16,1,11,1,0,27,16,4.5,1,11,1,16,2023
22,Miami,1.5,Dallas,20,1,2,1,0,22,20,1.5,1,2,1,16,2023
23,Denver,6.5,New England,26,0,-3,0,0,23,26,6.5,0,-3,0,16,2023
14,Kansas City,9.5,Las Vegas,20,0,-6,0,0,14,20,9.5,0,-6,0,16,2023
33,Phildelphia,10.5,NY Giants,25,0,8,1,0,33,25,10.5,0,8,1,16,2023
19,San Francisco,5.5,Baltimore,33,0,-14,0,0,19,33,5.5,0,-14,0,16,2023
37,Cleveland,7.5,NY Jets,20,1,17,1,0,37,20,7.5,1,17,1,17,2023
20,Dallas,6.5,Detroit,19,0,1,1,0,20,19,6.5,0,1,1,17,2023
27,Buffalo,11.5,New England,21,0,6,1,0,27,21,11.5,0,6,1,17,2023
37,Chicago,2.5,Atlanta,17,1,20,1,0,37,17,2.5,1,20,1,17,2023
