"","First Name","Last Name","Overall","Overall Reliability","Singles","Singles Reliability","Doubles","Doubles Reliability","Mixed","Mixed Reliability","Sex"
"153","Olivia","Armas",4.52,0.63,5.052,0.31,4.25,0.78,4.26,0.81,"F"
"154","Parker","Franklin",4.599,0.46,4.415,0.34,4.757,0.52,4.625,0.52,"F"
"155","Quinn","Dutrey",4.44,0.33,4.5,0,4.791,0.5,4.089,0.49,"F"
"156","Rachel","Garff",5.161,0.55,5.254,0.54,5.139,0.55,5.089,0.57,"F"
"157","Rachel","Sherrill",4.826,0.22,4.5,0,4.673,0.31,4.978,0.34,"F"
"158","Raegan","Lombardo",3.93,0.26,4.101,0.26,3.665,0.26,4.025,0.26,"F"
"159","Reese","Ashdown",4.403,0.33,4.5,0,4.228,0.49,4.577,0.5,"F"
"160","Samantha","Meadows",4.028,0.42,4.016,0.25,3.857,0.5,4.211,0.52,"F"
"161","Sammie","Arnold",4.34,0.19,4.5,0,4.34,0.29,4.656,0.27,"F"
"162","Scotland","Reynolds",5.165,0.45,5.407,0.29,5.347,0.54,4.741,0.53,"F"
"163","Shae","Spencer",5.072,0.45,5.156,0.27,5.005,0.53,5.056,0.56,"F"
"164","Shaina","Berk",4.057,0.35,3.92,0.27,4.13,0.34,4.057,0.44,"F"
"165","Shannon","Anderson",4.363,0.26,3.933,0.24,4.488,0.27,4.667,0.28,"F"
"166","Shannon","Burns",4.294,0.43,4.706,0.27,4.791,0.5,3.796,0.51,"F"
"167","Sofia","Ohlson",4.145,0.3,4.42,0.15,4.301,0.34,4.145,0.42,"F"
"168","Sophia","Thompson",4.417,0.38,4.465,0.15,4.618,0.49,4.217,0.5,"F"
"169","Sophia","Gargiulo",4.372,0.33,4.195,0.15,4.491,0.38,4.372,0.46,"F"
"170","Sophia","Friedl",4.864,0.46,4.716,0.53,4.954,0.28,4.922,0.57,"F"
"171","Stella","Tran",4.34,0.27,4.385,0.15,4.354,0.33,4.326,0.32,"F"
"172","Summer","Mu",5.134,0.54,5.19,0.54,5.087,0.53,5.124,0.54,"F"
"173","Sydney","Horner",4.024,0.25,3.801,0.26,4.21,0.25,4.062,0.24,"F"
"174","Tanvi","Narendran",4.969,0.22,4.5,0,4.779,0.32,5.16,0.33,"F"
"175","Tara","Franke",5.272,0.46,5.098,0.29,5.671,0.53,5.049,0.55,"F"
"176","Taylor","Sanders",3.977,0.27,4.312,0.29,3.757,0.26,3.861,0.26,"F"
"177","Tori","Allen",4.441,0.2,4.5,0,4.5,0,4.441,0.61,"F"
"178","Tori","Burke",4.139,0.27,4.166,0.27,3.953,0.27,4.297,0.28,"F"
"179","Tristin","Foster",5.177,0.46,5.183,0.28,5.139,0.55,5.209,0.55,"F"
"180","Valeria","Meruvia",4.557,0.63,4.308,0.63,4.814,0.64,4.549,0.63,"F"
"181","Victoria","Marquez",4.389,0.5,4.479,0.47,4.197,0.51,4.491,0.53,"F"
"182","Vivianne","Ngo",4.906,0.5,4.572,0.3,5.038,0.61,5.108,0.59,"F"
