player,g,fg_percent,avg_dist_of_fg,2pt_rate,3pt_rate,2pt_percent,3pt_percent,dunk_rate
Georges Niang,79,.461,18.1,.340,.660,.569,.406,.000
Georges Niang,51,.477,17.6,.353,.647,.618,.400,.000
Georges Niang,28,.441,18.7,.324,.676,.500,.413,.000
Jakob Poeltl,57,.627,5.0,.995,.005,.628,.333,.055
Scotty Pippen Jr.,79,.480,12.5,.631,.369,.528,.397,.020
Kevin Huerter,69,.425,18.8,.353,.647,.587,.338,.015
Kevin Huerter,43,.413,19.3,.339,.661,.629,.302,.010
Kevin Huerter,26,.439,18.3,.367,.633,.546,.376,.020
Santi Aldama,65,.483,15.6,.497,.503,.599,.368,.073
A.J. Green,73,.429,24.0,.144,.856,.443,.427,.000
Al Horford,60,.423,19.0,.319,.681,.551,.363,.017
Terry Rozier,64,.391,15.7,.515,.485,.480,.295,.002
Peyton Watson,68,.477,10.7,.682,.318,.534,.353,.178
Moses Moody,74,.433,17.0,.407,.593,.519,.374,.033
Tristan Da Silva,74,.412,15.1,.505,.495,.488,.335,.062
Donte DiVincenzo,62,.422,20.5,.261,.739,.490,.397,.013
Isaiah Joe,74,.440,22.3,.207,.793,.549,.412,.015
Corey Kispert,61,.451,17.5,.416,.584,.574,.364,.012
Caris LeVert,64,.467,14.3,.526,.474,.552,.373,.053
Caris LeVert,38,.453,14.6,.503,.497,.500,.405,.047
Caris LeVert,26,.482,13.9,.548,.452,.600,.338,.060
Miles McBride,64,.406,18.3,.430,.570,.455,.369,.026
Isaiah Hartenstein,57,.581,6.7,.960,.040,.605,.000,.200
Gradey Dick,54,.410,16.3,.496,.504,.470,.350,.034
Paolo Banchero,46,.452,13.8,.701,.299,.509,.320,.055
Patrick Williams,63,.397,16.6,.473,.527,.447,.353,.048
Obi Toppin,79,.529,14.9,.497,.503,.695,.365,.129
Grayson Allen,64,.448,20.0,.284,.716,.504,.426,.018
Sam Hauser,71,.451,22.9,.158,.842,.640,.416,.006
Ziaire Williams,63,.412,16.2,.419,.581,.509,.341,.092
Gabe Vincent,72,.400,21.0,.264,.736,.532,.353,.000
Victor Wembanyama,46,.476,17.0,.530,.470,.586,.352,.114
Jerami Grant,47,.373,16.0,.484,.516,.381,.365,.035
Jonas Valančiūnas,81,.550,7.3,.941,.059,.571,.216,.070
Jonas Valančiūnas,49,.547,7.8,.936,.064,.567,.259,.055
Jonas Valančiūnas,32,.556,6.8,.951,.049,.579,.100,.102
Kyle Filipowski,72,.502,13.2,.575,.425,.614,.350,.098
Ja Morant,50,.454,12.7,.679,.321,.523,.309,.022
Matas Buzelis,80,.454,13.7,.521,.479,.540,.361,.141
LaMelo Ball,47,.405,17.8,.474,.526,.478,.339,.005
Dalton Knecht,78,.461,18.1,.390,.610,.594,.376,.095
Kevin Porter Jr.,75,.449,13.8,.729,.271,.501,.311,.066
Kevin Porter Jr.,45,.423,14.0,.740,.260,.485,.245,.047
Kevin Porter Jr.,30,.494,13.6,.710,.290,.529,.408,.098
D'Angelo Russell,58,.390,18.4,.436,.564,.489,.314,.002
D'Angelo Russell,29,.415,17.7,.460,.540,.510,.333,.003
D'Angelo Russell,29,.367,19.0,.413,.587,.467,.297,.000
Lauri Markkanen,47,.423,17.3,.430,.570,.525,.346,.104
Luke Kennard,65,.478,19.1,.394,.606,.547,.433,.002
Jamal Shead,75,.405,15.3,.558,.442,.470,.323,.016
Aaron Gordon,51,.531,11.8,.654,.346,.582,.436,.141
Isaiah Stewart,72,.559,7.2,.832,.168,.607,.321,.111
Brice Sensabaugh,71,.459,18.7,.379,.621,.520,.422,.008
Goga Bitadze,70,.611,4.9,.917,.083,.656,.107,.289
Kel'el Ware,64,.554,9.3,.761,.239,.629,.315,.321
Tari Eason,57,.487,11.3,.671,.329,.557,.342,.100
Zach Edey,66,.580,6.1,.880,.120,.612,.346,.236
T.J. McConnell,79,.519,9.1,.921,.079,.537,.306,.000
Terance Mann,67,.496,13.5,.605,.395,.580,.368,.080
Terance Mann,37,.446,13.4,.615,.385,.508,.347,.092
Terance Mann,30,.541,13.6,.596,.404,.646,.386,.069
Ryan Dunn,74,.430,16.0,.447,.553,.577,.311,.075
Sam Merrill,71,.406,22.7,.132,.868,.625,.372,.000
Ayo Dosunmu,46,.492,12.4,.579,.421,.612,.328,.027
Ty Jerome,70,.516,15.6,.591,.409,.570,.439,.000
Julian Strawther,65,.432,17.2,.447,.553,.535,.349,.012
Nick Smith Jr.,60,.391,18.5,.461,.539,.450,.340,.004
Jaime Jaquez Jr.,66,.461,9.9,.742,.258,.513,.311,.032
Nicolas Batum,78,.437,22.1,.147,.853,.457,.433,.021
Jose Alvarado,56,.392,17.9,.407,.593,.439,.359,.000
Jeremy Sochan,54,.535,7.4,.806,.194,.590,.308,.196
Luke Kornet,73,.668,2.8,.989,.011,.675,.000,.354
Trey Lyles,69,.420,17.6,.364,.636,.559,.340,.078
Jake LaRavia,66,.475,14.6,.579,.421,.513,.423,.074
Jake LaRavia,47,.490,12.1,.627,.373,.517,.444,.079
Jake LaRavia,19,.438,17.0,.458,.542,.500,.385,.063
Bogdan Bogdanović,54,.427,18.7,.413,.587,.517,.363,.002
Bogdan Bogdanović,24,.371,19.1,.348,.652,.500,.301,.004
Bogdan Bogdanović,30,.474,18.3,.466,.534,.528,.427,.000
Justin Champagnie,62,.511,13.9,.530,.470,.624,.383,.075
Paul George,41,.430,18.0,.530,.470,.493,.358,.021
Ausar Thompson,59,.535,6.0,.893,.107,.572,.224,.272
Donovan Clingan,67,.539,5.8,.853,.147,.582,.286,.207
Jordan Hawkins,56,.372,19.3,.403,.597,.433,.331,.036
Tyrese Martin,60,.406,18.0,.394,.606,.492,.351,.013
Mason Plumlee,74,.619,3.9,.980,.020,.631,.000,.347
Jonathan Mogbo,63,.438,8.6,.803,.197,.486,.243,.216
Jalen Johnson,36,.500,10.2,.740,.260,.566,.312,.127
Max Strus,50,.442,20.6,.214,.786,.650,.386,.035
Johnny Juzang,64,.429,19.2,.339,.661,.534,.376,.006
Ron Holland,81,.474,12.1,.637,.363,.608,.238,.091
Javonte Green,68,.429,14.1,.509,.491,.527,.326,.077
Javonte Green,50,.446,13.7,.518,.482,.534,.352,.080
Javonte Green,18,.365,14.5,.476,.524,.500,.242,.063
Nick Richards,57,.591,4.0,.994,.006,.594,.000,.288
Nick Richards,21,.561,3.4,.991,.009,.566,.000,.263
Nick Richards,36,.605,4.6,.996,.004,.608,.000,.300
Dean Wade,59,.413,21.0,.181,.819,.653,.360,.033
Ricky Council IV,73,.382,15.2,.540,.460,.488,.258,.071
Tidjane Salaün,60,.330,17.6,.406,.594,.400,.283,.038
Bobby Portis,49,.466,14.1,.701,.299,.508,.365,.015
Moussa Diabaté,71,.596,3.6,.979,.021,.609,.000,.329
Jeremiah Robinson-Earl,66,.455,14.0,.527,.473,.557,.341,.026
Simone Fontecchio,75,.402,17.7,.391,.609,.507,.335,.035
Cole Anthony,67,.424,15.6,.599,.401,.471,.353,.007
Ben Sheppard,63,.418,18.3,.307,.693,.591,.342,.007
Daniel Gafford,57,.702,2.6,1.000,.000,.702,,.325
John Collins,40,.527,11.0,.721,.279,.577,.399,.130
Caleb Martin,45,.424,13.2,.661,.339,.458,.359,.030
Caleb Martin,31,.435,15.2,.625,.375,.469,.379,.034
Caleb Martin,14,.389,11.1,.778,.222,.429,.250,.014
Kristaps Porziņģis,42,.483,16.0,.564,.436,.537,.412,.106
Brandon Clarke,64,.621,5.7,.955,.045,.647,.059,.079
Deandre Ayton,40,.566,8.4,.932,.068,.594,.188,.165
Jarace Walker,75,.472,16.4,.486,.514,.543,.405,.081
Kawhi Leonard,37,.498,14.4,.695,.305,.536,.411,.056
Clint Capela,55,.559,3.0,.997,.003,.560,.000,.262
Cody Martin,53,.418,15.3,.535,.465,.534,.285,.052
Cody Martin,39,.433,15.3,.537,.463,.528,.323,.049
Cody Martin,14,.351,15.4,.526,.474,.567,.111,.070
Mark Williams,44,.604,3.8,.991,.009,.609,.000,.264
Precious Achiuwa,57,.502,6.2,.890,.110,.529,.278,.171
Nikola Jović,46,.456,16.1,.443,.557,.563,.371,.016
Justin Edwards,44,.455,16.0,.497,.503,.548,.363,.024
Vit Krejci,57,.497,19.4,.295,.705,.640,.437,.041
Jonathan Kuminga,47,.454,11.3,.734,.266,.508,.305,.095
Kevon Looney,76,.514,4.6,.982,.018,.516,.400,.090
Kenrich Williams,69,.483,15.3,.517,.483,.574,.386,.017
Julian Phillips,79,.446,14.2,.467,.533,.582,.327,.153
Aaron Nesmith,45,.507,15.7,.485,.515,.587,.431,.042
Dalano Banton,67,.391,14.4,.562,.438,.442,.324,.024
Ben Simmons,51,.520,4.9,1.000,.000,.520,,.103
Ben Simmons,33,.547,4.7,1.000,.000,.547,,.106
Ben Simmons,18,.434,5.1,1.000,.000,.434,,.094
Ja'Kobe Walter,52,.405,15.0,.527,.473,.454,.349,.041
Jaxson Hayes,56,.722,2.9,.987,.013,.732,.000,.578
Cameron Payne,72,.401,17.8,.426,.574,.453,.363,.000
Jonathan Isaac,71,.414,14.1,.534,.466,.549,.258,.160
DaQuan Jeffries,47,.405,16.3,.436,.564,.496,.335,.100
Jusuf Nurkić,51,.477,10.9,.702,.298,.551,.305,.065
Jusuf Nurkić,25,.454,12.0,.638,.362,.529,.322,.098
Jusuf Nurkić,26,.497,9.8,.757,.243,.566,.283,.037
Seth Curry,68,.478,18.8,.469,.531,.503,.456,.000
Cody Williams,50,.323,16.3,.475,.525,.393,.259,.035
Isaac Okoro,55,.464,14.8,.434,.566,.586,.371,.052
Oso Ighodaro,61,.604,6.4,.989,.011,.611,.000,.310
Jared Butler,60,.448,13.4,.627,.373,.504,.355,.000
Jared Butler,32,.483,11.2,.767,.233,.519,.366,.000
Jared Butler,28,.426,15.7,.538,.462,.490,.352,.000
Jamison Battle,59,.429,20.4,.254,.746,.500,.405,.020
Noah Clowney,46,.358,19.2,.298,.702,.414,.333,.065
Alex Caruso,54,.446,15.2,.459,.541,.556,.353,.029
Kris Murray,69,.419,12.2,.570,.430,.566,.225,.129
Dejounte Murray,31,.393,14.8,.648,.352,.444,.299,.012
Jalen Suggs,35,.410,17.7,.497,.503,.506,.314,.008
Kyle Anderson,61,.469,10.9,.769,.231,.502,.357,.036
Kyle Anderson,36,.450,13.2,.692,.308,.487,.365,.059
Kyle Anderson,25,.493,8.6,.866,.134,.517,.333,.007
Brandon Boston Jr.,42,.436,14.9,.633,.367,.485,.350,.066
Dalen Terry,73,.448,11.7,.612,.388,.506,.356,.049
Andre Jackson Jr.,67,.477,12.2,.614,.386,.529,.395,.147
Zach Collins,64,.507,11.6,.649,.351,.617,.302,.073
Zach Collins,36,.462,11.6,.652,.348,.547,.304,.068
Zach Collins,28,.541,11.5,.647,.353,.673,.300,.076
Trayce Jackson-Davis,62,.576,3.4,.990,.010,.582,.000,.387
Thomas Bryant,66,.508,14.9,.539,.461,.665,.324,.109
Thomas Bryant,10,.429,16.6,.393,.607,.545,.353,.000
Thomas Bryant,56,.515,13.3,.553,.447,.673,.321,.119
Jalen Smith,64,.466,15.4,.456,.544,.634,.324,.071
Jordan Clarkson,37,.408,16.6,.529,.471,.448,.362,.006
Gary Payton II,62,.574,10.1,.681,.319,.690,.326,.128
Brandon Miller,27,.403,19.0,.403,.597,.475,.355,.037
Bruce Brown,41,.421,11.1,.738,.262,.452,.333,.023
Bruce Brown,18,.435,11.2,.725,.275,.484,.306,.015
Bruce Brown,23,.410,11.1,.747,.253,.429,.356,.028
Immanuel Quickley,33,.420,17.3,.486,.514,.465,.378,.002
Trendon Watford,44,.469,10.2,.749,.251,.515,.330,.020
KJ Martin,43,.552,9.0,.711,.289,.671,.259,.254
KJ Martin,24,.616,7.1,.788,.212,.679,.381,.242
KJ Martin,19,.490,10.9,.637,.363,.662,.189,.265
Jaden Hardy,57,.435,16.2,.524,.476,.479,.386,.027
Day'Ron Sharpe,50,.521,6.6,.858,.142,.566,.244,.114
Adem Bona,58,.703,2.3,.995,.005,.707,.000,.401
Tre Jones,46,.538,8.9,.798,.202,.574,.396,.004
Tre Jones,28,.484,9.8,.720,.280,.552,.308,.011
Tre Jones,18,.572,8.1,.848,.152,.585,.500,.000
Jaden Ivey,30,.460,13.7,.627,.373,.490,.409,.024
Kelly Olynyk,44,.500,11.6,.705,.295,.534,.418,.015
Kelly Olynyk,24,.500,12.8,.636,.364,.533,.442,.025
Kelly Olynyk,20,.500,10.4,.760,.240,.535,.389,.007
Chet Holmgren,32,.490,12.4,.660,.340,.547,.379,.117
Neemias Queta,62,.650,3.6,.985,.015,.660,.000,.315
Alec Burks,49,.424,20.8,.236,.764,.422,.425,.000
Chris Boucher,50,.492,14.9,.478,.522,.633,.363,.111
Zion Williamson,30,.567,4.8,.974,.026,.576,.231,.085
Khris Middleton,37,.475,17.1,.605,.395,.549,.361,.003
Khris Middleton,23,.512,17.3,.592,.408,.584,.407,.005
Khris Middleton,14,.413,16.9,.627,.373,.494,.277,.000
KJ Simpson,36,.346,15.0,.568,.432,.415,.254,.010
Shake Milton,57,.453,14.3,.583,.417,.520,.358,.000
Shake Milton,27,.465,15.3,.541,.459,.529,.389,.000
Shake Milton,30,.433,13.3,.649,.351,.508,.294,.000
Dereck Lively II,36,.702,3.1,1.000,.000,.702,,.393
Garrison Mathews,47,.397,22.4,.152,.848,.436,.390,.004
Cam Whitmore,51,.444,14.9,.546,.454,.518,.355,.112
Ryan Rollins,56,.487,14.6,.557,.443,.550,.408,.022
Marcus Sasser,57,.463,17.5,.486,.514,.549,.382,.000
Steven Adams,58,.545,4.1,.988,.012,.552,.000,.138
Aaron Holiday,62,.437,20.8,.325,.675,.517,.398,.000
Karlo Matković,42,.574,9.5,.719,.281,.675,.318,.204
Caleb Houstan,58,.421,22.4,.158,.842,.533,.400,.005
Vasilije Micić,41,.348,17.0,.542,.458,.338,.360,.000
Vasilije Micić,36,.348,17.0,.542,.458,.338,.360,.000
Vasilije Micić,5,,,,,,,
Jaylin Williams,47,.439,19.7,.308,.692,.529,.399,.059
Pelle Larsson,55,.438,13.3,.532,.468,.528,.337,.034
Cam Thomas,25,.438,16.3,.570,.430,.506,.349,.000
Lindy Waters III,52,.369,22.0,.253,.747,.444,.344,.020
Lindy Waters III,38,.371,20.7,.278,.722,.474,.331,.020
Lindy Waters III,14,.364,23.2,.136,.864,.167,.395,.023
Lonzo Ball,35,.366,23.0,.198,.802,.458,.344,.021
Orlando Robinson,44,.444,10.0,.801,.199,.474,.327,.077
Orlando Robinson,9,.412,11.0,.706,.294,.500,.200,.059
Orlando Robinson,35,.447,9.0,.807,.193,.472,.340,.078
Eric Gordon,39,.426,19.9,.328,.672,.463,.409,.005
Gui Santos,56,.458,16.3,.425,.575,.632,.330,.039
Landry Shamet,50,.461,19.3,.322,.678,.595,.397,.013
Svi Mykhailiuk,38,.391,19.7,.328,.672,.485,.345,.013
Andre Drummond,40,.500,5.4,.915,.085,.533,.150,.171
Jabari Walker,60,.515,10.1,.686,.314,.573,.389,.070
Jay Huff,64,.515,17.9,.344,.656,.724,.405,.177
Drew Eubanks,61,.593,4.7,.969,.031,.596,.500,.289
Drew Eubanks,37,.607,5.5,.966,.034,.607,.600,.303
Drew Eubanks,24,.551,4.0,.980,.020,.563,.000,.245
Talen Horton-Tucker,58,.457,12.6,.581,.419,.544,.336,.045
Gary Harris,48,.383,20.7,.241,.759,.469,.356,.008
Micah Potter,38,.422,18.8,.274,.726,.703,.316,.111
Jett Howard,60,.374,20.8,.290,.710,.566,.296,.027
DeAndre Jordan,56,.650,2.3,1.000,.000,.650,,.514
Quinten Post,42,.449,18.5,.347,.653,.526,.408,.033
Blake Wesley,58,.435,10.8,.688,.312,.500,.293,.081
Sandro Mamukelashvili,61,.502,16.1,.427,.573,.675,.373,.103
Marcus Smart,34,.393,17.4,.451,.549,.448,.348,.004
Marcus Smart,19,.358,18.3,.392,.608,.414,.322,.000
Marcus Smart,15,.440,16.5,.532,.468,.483,.392,.009
Jalen Pickett,49,.428,18.8,.439,.561,.468,.396,.000
Tosan Evbuomwan,28,.427,12.4,.650,.350,.490,.312,.023
