Player,Team,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Jenna Servi,Louisville,0.283,0.338,0.333,0.672,50,133,120,25,34,2,2,0,12,2,8,12,4,1
Jenna Wike,Merrimack,0.286,0.359,0.437,0.796,42,144,126,13,36,10,0,3,26,6,9,10,2,0
Jenna Wildeman,Central Arkansas,0.354,0.448,0.381,0.829,58,225,189,54,67,1,2,0,7,0,32,39,40,9
Jenny Jansen,Southern Illinois,0.387,0.508,0.6,1.108,47,189,150,30,58,5,0,9,44,2,36,15,1,0
Jensen Striegel,Murray State,0.285,0.318,0.285,0.602,47,133,123,19,35,0,0,0,9,1,5,15,8,4
Jess Mazur,Georgia Southern,0.226,0.325,0.489,0.813,47,155,133,20,30,1,2,10,31,6,14,29,0,0
Jessi Alcala,Cal State Fullerton,0.377,0.42,0.596,1.016,54,166,151,26,57,12,0,7,38,4,7,27,3,1
Jessica Chilcott,Iona,0.284,0.378,0.516,0.894,48,182,155,23,44,6,0,10,31,5,19,44,8,5
Jessica Fehr,Evansville,0.3,0.401,0.386,0.787,47,167,140,27,42,12,0,0,16,1,24,30,6,2
Jessica Giacoma,San Jose State,0.205,0.292,0.311,0.603,48,140,122,12,25,4,3,1,10,0,15,26,4,0
Jessica Mabrey,Michigan State,0.285,0.414,0.45,0.864,52,189,151,27,43,8,1,5,18,6,28,18,6,3
Jessica Puk,Arizona State,0.238,0.377,0.314,0.691,53,136,105,28,25,2,0,2,13,8,16,21,3,0
Jessica Sellers,Nevada,0.32,0.396,0.503,0.9,49,172,147,20,47,13,1,4,33,5,15,31,4,1
Jessie Munson,Oakland,0.295,0.326,0.326,0.652,43,139,132,20,39,4,0,0,4,0,6,16,8,3
Jessie Nagel,Holy Cross,0.228,0.247,0.352,0.598,48,151,145,9,33,9,0,3,20,1,3,33,0,0
Jessie Rising,Manhattan,0.209,0.263,0.255,0.517,39,120,110,10,23,3,1,0,8,0,8,30,1,0
Jil Poullard,McNeese,0.367,0.5,0.64,1.14,56,204,150,44,55,12,4,7,45,9,37,17,19,4
Jillian Celis,San Diego State,0.323,0.383,0.435,0.819,55,207,186,37,60,10,4,1,28,7,12,24,8,2
Jillian Figueroa,San Jose State,0.252,0.415,0.427,0.842,46,136,103,19,26,2,2,4,20,1,29,35,0,1
Jocelyn Alo,Oklahoma,0.515,0.646,1.212,1.858,62,230,165,84,85,13,0,34,85,9,54,19,2,3
Jocelyn Carrillo,South Dakota State,0.25,0.341,0.403,0.744,54,166,144,23,36,7,0,5,26,0,20,22,4,0
Jocelyn Kirk,North Dakota,0.207,0.297,0.262,0.559,53,186,164,17,34,6,0,1,9,9,12,22,8,1
Jocylyn Vidal,San Jose State,0.289,0.396,0.406,0.802,47,156,128,21,37,7,1,2,19,5,19,22,0,0
Johneisha Rowe,UCF,0.297,0.388,0.331,0.719,61,204,175,35,52,4,1,0,16,3,23,38,23,4
Joley Mitchell,Notre Dame,0.34,0.407,0.592,0.999,44,118,103,23,35,9,1,5,25,0,13,13,5,0
Jolie Duong,Army,0.283,0.347,0.396,0.744,41,118,106,20,30,3,0,3,8,1,10,16,2,0
Jolie Readeaux,UAB,0.284,0.359,0.373,0.732,46,119,102,11,29,4,1,1,19,8,5,9,0,0
Jordan Fabian,South Carolina,0.303,0.471,0.555,1.026,56,210,155,47,47,10,1,9,36,10,42,38,17,3
Jordan Frank,Saint Francis,0.311,0.373,0.461,0.834,55,190,167,25,52,5,1,6,31,2,15,20,11,2
Jordan Gontram,UNC Greensboro,0.286,0.356,0.661,1.017,57,189,168,25,48,6,0,19,51,3,16,31,0,0
Jordan Hinkle,Saint Joseph's,0.344,0.361,0.417,0.778,46,173,163,24,56,3,0,3,24,2,3,14,22,4
Jordan Jenkins,Northern Kentucky,0.273,0.341,0.323,0.664,56,183,161,4,44,5,0,1,20,2,15,30,0,0
Jordan Ridge,Western Kentucky,0.31,0.413,0.517,0.93,51,177,145,35,45,10,1,6,33,5,21,32,7,3
Jordyn Chapman,Detroit,0.202,0.269,0.263,0.531,40,109,99,5,20,3,0,1,6,0,9,15,0,0
Jordyn Gasper,Utah,0.275,0.331,0.325,0.656,54,181,160,21,44,6,1,0,27,3,11,18,9,0
Jordyn Kadlub,USF,0.219,0.315,0.289,0.605,51,133,114,19,25,5,0,1,11,3,13,24,13,1
Jordyn Pender,South Dakota,0.338,0.377,0.484,0.861,52,167,157,26,53,8,0,5,33,1,9,37,0,0
Jordyn Rudd,Northwestern,0.37,0.442,0.584,1.026,58,207,173,31,64,11,1,8,52,8,19,9,1,0
Jordyn Swinehart,Western Michigan,0.222,0.277,0.275,0.552,53,171,153,22,34,3,1,1,14,3,9,14,3,0
Josie Bower,Baylor,0.279,0.365,0.401,0.767,53,169,147,19,41,5,2,3,30,11,9,22,4,0
Josie Charles,Lehigh,0.268,0.295,0.323,0.618,50,134,127,19,34,3,2,0,5,0,5,28,6,1
Juju Sargent,Cal Poly,0.306,0.361,0.438,0.799,44,134,121,13,37,9,2,1,21,0,11,5,1,2
Julia Bilbao,Texas Southern,0.274,0.396,0.389,0.785,43,142,113,25,31,5,1,2,23,1,23,14,4,1
Julia Cottrill,Oklahoma State,0.306,0.413,0.613,1.026,51,150,124,29,38,5,0,11,29,5,19,16,1,1
Julia Jimenez,Utah,0.319,0.392,0.572,0.964,54,190,166,27,53,10,1,10,52,2,19,10,4,1
Julia Martine,Fordham,0.237,0.344,0.48,0.825,52,181,152,27,36,4,3,9,26,8,18,41,7,1
Julia Mazanec,Kent State,0.22,0.316,0.28,0.596,39,106,82,12,18,2,0,1,9,0,12,12,3,1
Julia Roman,Lafayette,0.211,0.254,0.268,0.522,43,131,123,9,26,7,0,0,15,2,5,17,2,2
Julia Schneider,Penn,0.161,0.291,0.218,0.51,33,104,87,14,14,2,0,1,7,2,14,14,0,0
Julie Phelps,Montana,0.313,0.4,0.42,0.82,47,152,131,20,41,6,1,2,22,1,18,28,4,0
Justine Briones,Long Beach State,0.239,0.296,0.341,0.637,39,99,88,7,21,3,0,2,18,1,7,20,0,1
Ka'ena Keliinoi,Hawaii,0.33,0.371,0.487,0.858,41,125,115,23,38,9,0,3,21,4,4,9,3,1
Kacey Hvitved,Fresno State,0.215,0.329,0.355,0.684,49,150,121,16,26,6,1,3,14,1,20,29,7,1
Kacey Zobac,California,0.259,0.356,0.475,0.831,50,161,139,16,36,12,0,6,23,3,18,24,0,0
Kaelene Walter,Dayton,0.241,0.31,0.276,0.586,44,133,116,17,28,2,1,0,15,3,9,16,1,0
Kaeley Hallada,Purdue,0.209,0.259,0.366,0.624,52,144,134,9,28,3,0,6,17,2,7,30,0,0
Kai Barrett,Cal Poly,0.23,0.281,0.31,0.591,44,123,113,9,26,3,0,2,17,1,7,29,0,0
Kaia Bonshock,Mount St. Mary's,0.273,0.373,0.381,0.754,48,161,139,8,38,6,0,3,25,5,17,20,2,0
Kailee Powell,Illinois,0.302,0.377,0.432,0.809,56,186,162,24,49,15,0,2,23,3,17,29,4,0
Kailey Christian,Delaware,0.258,0.362,0.398,0.761,44,149,128,19,33,8,2,2,23,3,18,20,2,0
Kailey Wilson,Creighton,0.436,0.541,0.812,1.353,42,147,117,21,51,11,0,11,32,4,24,15,0,0
Kaili Chval,Illinois State,0.235,0.352,0.331,0.683,49,163,136,27,32,3,2,2,18,3,22,39,2,0
Kaili Phillips,Chattanooga,0.25,0.382,0.563,0.945,57,180,144,28,36,6,0,13,35,18,14,32,1,0
Kaitlin Hoffman,Fairfield,0.273,0.354,0.424,0.779,47,159,139,19,38,10,1,3,29,6,12,30,11,2
Kaitlyn Cook,Colorado State,0.274,0.315,0.444,0.76,46,147,135,19,37,5,0,6,23,3,6,28,0,2
Kaitlyn Flood,Manhattan,0.261,0.288,0.403,0.691,40,126,119,15,31,6,1,3,15,1,4,20,5,2
Kaitlyn Lim,Stanford,0.311,0.339,0.524,0.863,57,178,164,26,51,6,4,7,40,1,7,33,6,4
Kaity McInall,Niagara,0.209,0.261,0.236,0.497,38,119,110,8,23,3,0,0,10,1,7,22,1,1
Kalena Burns,Iowa,0.268,0.371,0.417,0.788,50,153,127,9,34,5,1,4,27,5,17,17,0,0
Kaley Mudge,Florida State,0.358,0.415,0.511,0.926,53,200,176,44,63,9,3,4,26,0,20,17,14,5
Kalita Dennis,Howard,0.361,0.411,0.646,1.057,54,178,158,40,57,9,3,10,48,0,15,16,11,4
Kallie Pickens,UT Martin,0.329,0.36,0.539,0.898,53,181,167,33,55,16,2,5,39,0,9,19,1,0
Kamdyn Kvistad,South Alabama,0.255,0.358,0.51,0.868,41,129,102,15,26,2,0,8,29,3,15,22,1,1
Kamrie Rich,Lipscomb,0.215,0.309,0.388,0.698,44,140,121,11,26,3,0,6,28,1,16,12,0,1
Kamryn Jackson,Duke,0.295,0.438,0.598,1.036,55,148,112,38,33,8,1,8,34,10,20,28,11,1
Kamryn Shaffer,Northern Iowa,0.195,0.325,0.313,0.637,45,154,128,21,25,3,0,4,17,1,24,29,6,2
Kara Apato,Northern Illinois,0.308,0.375,0.336,0.711,45,167,143,30,44,2,1,0,10,2,14,13,10,2
Kara Canetto,Liberty,0.347,0.398,0.468,0.866,61,210,190,40,66,11,3,2,25,6,10,25,10,2
Kari Jacobson,Holy Cross,0.224,0.262,0.235,0.497,49,109,98,11,22,1,0,0,1,0,5,28,3,1
Karina Somoza,UTEP,0.229,0.353,0.271,0.624,38,85,70,5,16,0,0,1,7,6,8,7,1,0
Karizma Bergesen,San Jose State,0.289,0.35,0.547,0.897,46,143,128,18,37,6,0,9,25,7,5,37,0,0
Karli Petty,Oklahoma State,0.276,0.35,0.476,0.827,48,119,105,21,29,3,0,6,17,1,11,19,2,0
Karly Heath,UL Lafayette,0.314,0.441,0.771,1.213,48,138,105,34,33,5,2,13,36,1,26,17,10,1
Karly Keating,UMBC,0.342,0.391,0.504,0.895,38,131,117,21,40,5,1,4,10,2,8,18,2,2
Karsen Mosley,Jacksonville State,0.319,0.371,0.509,0.88,54,180,163,34,52,12,2,5,17,6,8,16,12,5
Karsen O'Rourke,Lehigh,0.288,0.296,0.353,0.649,52,166,156,21,45,1,3,1,28,0,3,12,4,3
Kasey Collins,Hofstra,0.228,0.344,0.25,0.594,47,170,136,21,31,1,1,0,5,9,15,25,5,0
Kasey Simpson,Iowa State,0.24,0.318,0.42,0.738,55,174,150,24,36,8,2,5,25,8,11,16,2,0
Kat Clum,Brown,0.233,0.256,0.293,0.549,41,124,116,13,27,7,0,0,11,1,3,23,1,1
Kat Marshall,Northwestern State,0.253,0.325,0.467,0.792,50,166,150,14,38,11,0,7,26,1,15,24,0,0
Kate Beckemeyer,Valparaiso,0.26,0.295,0.29,0.585,46,142,131,8,34,4,0,0,13,0,7,15,1,0
Kate Farren,Dartmouth,0.259,0.318,0.483,0.801,43,131,116,16,30,12,1,4,24,3,8,24,2,2
Kate Kobayashi,Miami (OH),0.311,0.385,0.629,1.014,56,192,167,48,52,11,3,12,35,1,21,18,16,1
Kate Polucha,DePaul,0.333,0.393,0.589,0.982,43,145,129,28,43,7,1,8,36,4,10,9,2,0
Katelyn Mangrello,California Baptist,0.341,0.383,0.5,0.883,51,152,138,10,47,14,1,2,32,1,9,12,0,1
Katelyn Whiting,Weber State,0.367,0.465,0.408,0.873,50,148,120,37,44,5,0,0,9,2,20,29,5,1
Kati Ray Brown,Houston,0.263,0.331,0.475,0.806,55,182,160,29,42,4,0,10,24,5,12,30,0,1
Katie Adams,Marshall,0.241,0.338,0.459,0.796,49,155,133,25,32,11,0,6,31,5,15,16,0,0
Katie Falotico,Albany,0.352,0.401,0.633,1.034,42,143,128,16,45,16,4,4,36,3,9,25,5,3
Katie Faulk,Utah,0.198,0.299,0.366,0.665,48,121,101,6,20,2,0,5,14,1,14,31,0,0
Katie Goldberg,Virginia,0.271,0.344,0.553,0.897,54,189,170,30,46,8,2,12,38,2,17,20,4,1
Katie Greep,Kennesaw State,0.282,0.311,0.371,0.681,51,182,170,24,48,10,1,1,21,1,6,23,4,0
Katie Hinkle,Long Island,0.295,0.359,0.311,0.669,56,156,132,25,39,0,1,0,4,2,11,21,14,3
Katie Keller,Northern Illinois,0.443,0.521,0.757,1.278,45,169,140,40,62,19,2,7,45,0,26,9,13,3
Katie O'Leary,Brown,0.282,0.423,0.5,0.923,32,97,78,16,22,6,1,3,19,11,8,16,2,0
Katie Reeg,Dayton,0.274,0.331,0.434,0.764,45,121,106,22,29,8,0,3,18,2,8,20,6,0
Katie Sciglimpaglia,Saint Peter's,0.214,0.266,0.302,0.568,54,181,159,26,34,3,1,3,15,2,10,10,5,1
Katlyn Pavlick,Pittsburgh,0.247,0.333,0.494,0.827,37,94,81,11,20,3,1,5,17,1,10,24,1,0
Katy Schaefer,Tarleton State,0.359,0.413,0.607,1.019,45,160,145,18,52,9,0,9,49,4,10,9,0,0
Kayla Bowen,New Mexico State,0.369,0.42,0.656,1.076,51,174,160,35,59,13,0,11,41,3,11,32,3,1
Kayla Gutierrez,College of Charleston,0.141,0.225,0.141,0.367,44,103,92,12,13,0,0,0,2,1,9,19,7,1
Kayla Harper,North Florida,0.295,0.399,0.341,0.74,59,210,173,40,51,2,0,2,18,4,26,32,30,6
Kayla Jensen,Quinnipiac,0.215,0.253,0.269,0.521,33,100,93,7,20,5,0,0,11,0,5,15,5,2
Kayla Konwent,Wisconsin,0.348,0.508,0.631,1.139,50,187,141,21,49,10,0,10,32,8,38,24,2,0
Kayla Kowalik,Kentucky,0.42,0.498,0.619,1.116,56,212,181,57,76,11,2,7,28,0,29,20,17,1
Kayla Lane,Pittsburgh,0.233,0.319,0.369,0.688,41,118,103,16,24,2,0,4,8,5,8,33,4,2
Kayla McGory,North Florida,0.3,0.393,0.514,0.907,49,166,140,29,42,10,1,6,29,4,18,10,10,1
Kayla Traylor,Bethune-Cookman,0.237,0.274,0.246,0.52,46,131,118,11,28,1,0,0,4,0,6,17,2,1
Kayla Whitehead,Florida International,0.275,0.31,0.399,0.709,49,152,138,7,38,4,2,3,12,1,6,20,0,1
Kaylee Anderson,Southeast Missouri,0.353,0.424,0.634,1.058,54,176,153,37,54,8,1,11,35,2,17,26,7,1
Kaylee Lopez,McNeese,0.311,0.399,0.42,0.819,49,145,119,11,37,10,0,1,31,2,18,18,2,2
Kaylee Richetto,Middle Tennessee,0.205,0.283,0.241,0.525,46,128,112,2,23,4,0,0,13,2,11,23,0,0
Kaylee Tow,Alabama,0.266,0.385,0.381,0.766,53,170,139,25,37,4,0,4,28,1,27,21,0,1
Kayleigh Nicholson,Gardner-Webb,0.143,0.208,0.151,0.359,43,130,119,11,17,1,0,0,6,2,8,48,2,0
Kaylyn Sterling,UMES,0.235,0.282,0.275,0.556,41,114,102,15,24,4,0,0,10,0,7,12,4,1
KB Sides,Arkansas,0.389,0.507,0.706,1.212,59,230,180,67,70,12,3,13,42,1,45,24,28,4
Keagan Goldwait,Elon,0.177,0.313,0.29,0.604,51,151,124,8,22,5,0,3,19,7,18,37,2,0
Keeler van Breusegen,Bradley,0.265,0.327,0.346,0.672,52,153,136,13,36,6,1,1,20,1,13,27,4,2
Keeli Bobbitt,Jacksonville State,0.254,0.296,0.263,0.559,46,128,118,17,30,1,0,0,5,0,7,15,17,2
Keely Clark,Maine,0.294,0.339,0.376,0.715,42,118,109,9,32,3,0,2,21,1,7,15,0,0
Keely Dubois,Northwestern State,0.298,0.331,0.497,0.828,51,175,161,18,48,8,0,8,38,1,9,27,0,0
Kelby Drews,Maine,0.323,0.396,0.484,0.88,43,145,124,21,40,6,1,4,26,1,16,19,2,1
Kelci Hill,Middle Tennessee,0.247,0.277,0.301,0.579,52,179,166,18,41,9,0,0,13,0,7,17,5,0
Kelcy Leach,Tennessee,0.278,0.394,0.47,0.864,45,138,115,19,32,7,0,5,16,6,16,20,1,0
Kelley Lynch,Washington,0.243,0.325,0.396,0.722,44,129,111,15,27,6,1,3,16,1,13,19,0,1
Kelli Godin,UCLA,0.296,0.338,0.336,0.674,60,145,125,33,37,3,1,0,7,0,8,20,9,4
Kelly Horne,Troy,0.353,0.53,0.729,1.259,52,183,133,40,47,6,1,14,28,6,44,20,0,0
Kelly Ryono,Illinois,0.32,0.358,0.487,0.845,51,163,150,34,48,10,0,5,35,1,9,21,13,0
Kelly Walinski,Northern Illinois,0.259,0.317,0.313,0.63,42,125,112,13,29,6,0,0,12,0,10,16,1,2
Kelly Warren,East Tennessee State,0.259,0.321,0.293,0.614,55,191,174,23,45,2,2,0,12,1,15,42,24,10
Kelsey Alexander,Central Michigan,0.267,0.333,0.527,0.86,50,147,131,23,35,8,1,8,23,1,12,31,1,1
Kelsey Bennett,Virginia Tech,0.298,0.354,0.453,0.808,53,175,161,16,48,8,1,5,29,1,13,25,1,1
Kelsey Galevich,Hartford,0.265,0.368,0.459,0.828,41,114,98,14,26,7,0,4,18,2,14,29,1,0
Kelsey Hall,Boise State,0.378,0.49,0.773,1.263,44,148,119,37,45,6,1,13,32,6,20,21,5,1
Kelsey Harrigan,Niagara,0.236,0.368,0.309,0.678,40,133,110,21,26,8,0,0,12,2,21,27,8,2
Kelsey Lalor,Boise State,0.368,0.429,0.724,1.152,49,170,152,38,56,15,0,13,47,4,12,25,2,0
Kelsey Lenox,South Dakota State,0.271,0.394,0.465,0.859,49,160,129,12,35,7,0,6,22,2,26,22,0,0
Kendall Jean,Harvard,0.195,0.232,0.338,0.569,37,82,77,6,15,5,0,2,14,0,4,12,0,0
Kendall Lee,Memphis,0.305,0.357,0.397,0.754,53,160,141,8,43,7,0,2,27,0,13,21,0,1
Kendall McGary,Incarnate Word,0.207,0.295,0.304,0.599,48,157,135,20,28,4,0,3,25,3,15,24,5,1
Kendall Smith,Louisville,0.309,0.422,0.586,1.007,52,185,152,19,47,13,1,9,40,4,27,29,0,0
Kendra Allen,UMass,0.22,0.394,0.283,0.677,51,165,127,15,28,1,2,1,31,4,33,33,0,0
Kendyl McKeough,Northern Kentucky,0.324,0.4,0.682,1.082,56,198,173,32,56,15,1,15,40,0,22,26,3,1
Kendyl Weinzapfel,Austin Peay,0.295,0.305,0.358,0.663,53,177,173,17,51,4,2,1,14,1,2,10,6,3
Kendyll Bailey,Missouri,0.286,0.35,0.511,0.861,60,204,182,16,52,8,0,11,33,1,18,23,1,0
Kenlie Harvey,Mercer,0.232,0.369,0.326,0.695,56,173,138,15,32,2,1,3,17,6,24,37,5,0
Kennedi Bedell,Hampton,0.307,0.319,0.337,0.657,50,172,163,25,50,3,1,0,8,0,3,28,17,3
Kennedy Hebert,Nicholls,0.25,0.301,0.346,0.647,48,149,136,13,34,7,0,2,16,0,10,28,9,2
Kennedy Labshere,Boston College,0.231,0.298,0.365,0.664,44,114,104,9,24,3,1,3,17,5,5,10,0,0
Kennedy Page,UL Monroe,0.246,0.328,0.386,0.714,47,135,114,17,28,7,0,3,24,2,12,29,5,2
Kennedy Thomas,California,0.302,0.348,0.341,0.689,52,141,126,18,38,2,0,1,13,1,8,26,5,4
Kiana Cisneros,Long Island,0.303,0.335,0.354,0.689,55,188,175,28,53,7,1,0,31,2,7,14,2,0
Kiana Parrish,Alabama State,0.245,0.379,0.304,0.683,45,128,102,6,25,6,0,0,12,3,19,20,0,3
Kianna Jones,North Carolina,0.272,0.322,0.478,0.8,50,149,136,14,37,5,1,7,28,1,10,28,0,1
Kiara Mills,Creighton,0.331,0.427,0.554,0.98,42,147,121,21,40,3,3,6,27,6,15,21,3,0
Kiaya Jeusi,Hampton,0.28,0.348,0.379,0.727,55,178,161,17,45,6,2,2,25,4,13,38,10,1
Kiersten Withstandley,Rutgers,0.152,0.295,0.185,0.479,44,114,92,11,14,3,0,0,9,8,11,12,2,0
Kiki Besnard,Georgetown,0.153,0.198,0.2,0.398,39,92,85,7,13,1,0,1,5,2,3,19,0,0
Kiki Milloy,Tennessee,0.362,0.455,0.673,1.128,59,232,196,53,71,12,2,15,53,13,21,30,31,2
Kiley Naomi,Oklahoma State,0.224,0.333,0.376,0.709,59,199,165,37,37,5,1,6,21,4,24,27,13,2
Kim Howard,Central Connecticut,0.25,0.323,0.456,0.778,49,156,136,16,34,10,0,6,20,3,13,12,1,0
Kindall DeRamus,Alabama State,0.41,0.456,0.483,0.94,54,199,178,44,73,7,3,0,27,0,16,11,43,5
Kinsey Koeltzow,Grand Canyon,0.335,0.38,0.569,0.949,55,179,167,34,56,16,1,7,28,2,10,22,1,0
Kinsley Washington,UCLA,0.343,0.415,0.533,0.947,54,193,169,51,58,11,3,5,34,6,16,29,12,6
Kinzi Van Wyk,Lafayette,0.235,0.342,0.337,0.679,36,116,98,15,23,4,0,2,8,2,14,18,1,1
Kinzie Hansen,Oklahoma,0.273,0.313,0.521,0.834,51,134,121,26,33,6,0,8,29,2,7,11,1,0
Kira Ferraiolo,Sacred Heart,0.162,0.24,0.214,0.454,49,130,117,3,19,3,0,1,5,0,12,31,1,0
Kiya Thomas,Coastal Carolina,0.419,0.49,0.64,1.13,44,156,136,36,57,12,0,6,17,2,17,6,13,4
KJ Murphy,UT Arlington,0.305,0.39,0.483,0.873,49,174,151,33,46,9,0,6,26,0,21,24,5,1
Kloe Hilbrenner,Kansas City,0.369,0.41,0.606,1.017,47,173,160,27,59,12,4,6,22,0,12,19,30,4
Kolby Holcombe,Samford,0.231,0.268,0.354,0.621,53,159,147,7,34,6,0,4,17,1,7,26,0,0
Korie Kreps,UL Monroe,0.213,0.364,0.287,0.651,50,157,122,30,26,2,2,1,17,3,26,48,3,1
Korie Thomas,UC Santa Barbara,0.215,0.276,0.231,0.508,53,136,121,14,26,0,1,0,14,5,6,24,3,0
Kourtney Gremillion,Charlotte,0.279,0.387,0.384,0.771,58,206,172,13,48,7,1,3,24,2,29,17,0,0
Kristen Blanchard,Long Island,0.336,0.404,0.352,0.756,50,149,125,27,42,2,0,0,11,2,13,15,8,3
Kristen Green,Belmont,0.329,0.366,0.559,0.925,47,164,152,29,50,7,2,8,42,5,5,18,3,2
Kristi DiMeo,Drexel,0.38,0.473,0.613,1.086,46,182,150,27,57,12,1,7,32,6,23,8,1,2
Kristi Stevenson,Saint Louis,0.327,0.423,0.463,0.886,51,191,162,32,53,14,1,2,18,6,21,22,10,5
Kristin Fifield,Grand Canyon,0.356,0.402,0.681,1.083,55,186,163,34,58,5,3,14,55,3,13,32,7,1
Kristina Burkhardt,Michigan,0.371,0.435,0.586,1.021,56,207,186,40,69,20,7,2,31,3,18,18,15,3
Kristina Day,UMass,0.211,0.32,0.375,0.695,48,151,128,18,27,4,1,5,12,5,16,35,0,0
Kristina Foreman,Duke,0.398,0.47,0.797,1.267,48,152,128,40,51,6,0,15,56,6,14,26,8,2
Kya Enos,Maine,0.258,0.28,0.43,0.71,39,133,128,22,33,5,4,3,14,2,2,19,16,4
Kyla Morris,Duke,0.263,0.306,0.313,0.619,48,109,99,21,26,3,1,0,11,1,6,19,11,2
Kyla Reeves,South Carolina State,0.257,0.382,0.5,0.882,34,89,74,8,19,4,1,4,13,6,9,21,3,1
Kylee Harvey,Sacred Heart,0.234,0.322,0.304,0.626,54,181,158,23,37,6,1,1,9,6,15,23,2,0
Kylie Becker,Montana,0.241,0.365,0.333,0.698,47,175,141,23,34,5,1,2,21,9,19,19,4,0
Kyndal Kutac,Sam Houston State,0.226,0.367,0.331,0.698,48,170,133,27,30,5,0,3,17,10,21,16,4,1
Kyndall Crawford,Lipscomb,0.271,0.351,0.322,0.673,45,136,118,17,32,3,0,1,10,2,13,24,1,0
Lacey Fincher,Georgia,0.34,0.472,0.776,1.248,59,199,156,45,53,7,2,19,51,6,35,31,2,0
Lala Pascual,Quinnipiac,0.253,0.373,0.363,0.735,35,110,91,10,23,7,0,1,15,1,17,20,0,0
Lani Moreno,Rider,0.278,0.32,0.43,0.75,53,172,158,23,44,12,3,2,29,6,4,15,0,0
Lani Rodriguez,Middle Tennessee,0.248,0.331,0.274,0.605,47,139,113,8,28,3,0,0,9,4,11,13,2,0
Lath Freeman,Presbyterian,0.316,0.384,0.568,0.952,51,178,155,28,49,12,0,9,44,2,17,16,2,0
Laurel Devoe,Akron,0.202,0.374,0.44,0.814,40,108,84,12,17,2,0,6,17,3,20,38,0,0
Laurel McKelvey,Penn,0.256,0.363,0.302,0.665,34,106,86,9,22,1,0,1,12,8,7,10,0,1
Lauren Apollaro,Columbia,0.21,0.247,0.247,0.494,34,87,81,10,17,3,0,0,7,0,4,17,0,1
Lauren Bobowski,Harvard,0.276,0.354,0.293,0.647,41,134,116,24,32,2,0,0,6,1,13,14,17,2
Lauren Coerver,UTSA,0.169,0.285,0.315,0.599,48,144,124,14,21,4,1,4,10,3,17,35,0,0
Lauren Eamiguel,South Dakota,0.25,0.313,0.333,0.646,51,147,132,21,33,7,2,0,19,0,13,31,3,1
Lauren Esman,Michigan,0.261,0.315,0.403,0.719,44,130,119,17,31,8,0,3,23,1,9,33,0,1
Lauren Espalin,Minnesota,0.34,0.437,0.531,0.968,53,194,162,38,55,13,0,6,25,3,25,20,1,0
Lauren Farias,Tennessee State,0.167,0.274,0.222,0.496,53,148,126,15,21,5,1,0,5,1,18,36,7,1
Lauren Fey,Butler,0.373,0.448,0.401,0.849,47,166,142,23,53,4,0,0,7,1,19,8,18,7
Lauren Griffith,Oakland,0.314,0.414,0.542,0.957,40,140,118,13,37,15,0,4,25,2,19,12,0,1
Lauren Hoe,Weber State,0.244,0.352,0.407,0.758,47,146,123,17,30,6,1,4,21,2,19,27,2,1
Lauren Johnson,Kentucky,0.369,0.416,0.598,1.014,56,202,179,53,66,9,4,8,39,1,15,23,11,0
Lauren Kehlenbrink,Valparaiso,0.271,0.333,0.49,0.823,36,106,96,11,26,9,0,4,22,0,9,12,1,1
Lauren King,Winthrop,0.209,0.371,0.324,0.695,54,177,139,10,29,4,0,4,21,16,20,36,0,1
Lauren Mills,Wichita State,0.303,0.414,0.73,1.143,47,145,122,22,37,4,0,16,51,2,21,35,0,0
Lauren Nunez,Providence,0.204,0.323,0.278,0.601,45,127,108,14,22,3,1,1,16,4,15,23,1,0
Lauren Parks,Southern,0.24,0.281,0.364,0.645,42,131,121,17,29,5,5,0,6,2,5,24,16,4
Lauren Rende,Manhattan,0.35,0.405,0.443,0.848,44,153,140,27,49,8,1,1,14,1,12,10,10,3
Lauren Stewart,Jackson State,0.388,0.453,0.741,1.194,44,159,139,36,54,5,10,8,36,3,15,2,14,0
Lauren Strathearn,Northern Colorado,0.294,0.306,0.328,0.634,45,123,119,13,35,0,2,0,9,1,1,15,2,3
Lauren Taylor,Longwood,0.284,0.402,0.425,0.828,56,169,134,20,38,4,0,5,20,4,24,30,14,2
Lauryn Barker,UNLV,0.237,0.297,0.393,0.69,58,155,135,24,32,6,0,5,21,3,9,24,0,0
Lauryn Brooks,Hampton,0.179,0.264,0.214,0.478,44,129,112,12,20,2,1,0,6,0,13,33,3,2
Lauryn Garewal,UC Riverside,0.345,0.448,0.493,0.94,49,183,142,34,49,11,2,2,24,5,27,14,8,2
Layna Johnson,Presbyterian,0.359,0.408,0.534,0.943,43,144,131,30,47,8,0,5,17,1,10,24,11,1
Laynee Betancur,Utah Valley,0.284,0.328,0.321,0.649,45,120,109,20,31,2,1,0,11,0,8,16,2,2
Leea Hanks,Notre Dame,0.37,0.425,0.613,1.038,52,193,173,53,64,14,5,6,33,5,13,17,13,1
Leila Hurst,Army,0.301,0.321,0.468,0.789,50,169,156,20,47,10,2,4,30,3,4,26,1,0
Leslie Romero,New Mexico,0.272,0.313,0.388,0.701,49,163,147,13,40,11,0,2,23,0,11,18,2,0
Lewa Day,Sacramento State,0.359,0.471,0.724,1.195,54,189,156,40,56,9,0,16,39,3,30,44,5,4
