"position","Round","forty","vertical","bench_reps","broad_jump","three_cone","shuttle"
"OT",2,5.3,29,19,97,7.72,4.5
"TE",6,4.75,32.5,24,114,7.21,4.12
"QB",3,4.78,31.5,NA,115,7,4.1
"TE",6,4.75,33,23,113,7.5,4.48
"RB",2,4.53,38.5,NA,124,7.44,4.08
"OT",6,5.39,28,26,108,7.68,4.43
"TE",3,4.88,NA,28,NA,NA,NA
"QB",1,4.71,32,NA,113,6.82,3.96
"OG",3,5.34,28.5,21,93,7.83,4.83
"C",1,5.21,32,26,105,8.06,4.59
"RB",4,4.47,33,23,105,6.96,3.96
"OT",4,5.25,NA,24,NA,NA,NA
"OT",3,5.19,NA,NA,NA,NA,NA
"WR",7,4.56,34.5,NA,NA,NA,NA
"OT",2,5.4,28,NA,96,7.89,4.78
"OG",4,5.42,24.5,27,89,8.17,4.75
"WR",4,4.38,NA,NA,NA,NA,NA
"QB",3,4.86,NA,NA,NA,NA,NA
"WR",7,4.71,31.5,NA,NA,NA,NA
"FB",4,4.64,NA,NA,NA,NA,NA
"WR",1,4.46,NA,NA,NA,NA,NA
"C",NA,5.46,NA,NA,NA,NA,NA
"RB",1,4.43,35.5,19,118,6.94,4.15
"WR",1,4.56,36.5,NA,NA,NA,NA
"OT",4,5.18,NA,27,NA,NA,NA
"WR",1,4.32,NA,NA,NA,6.99,NA
"OG",5,5.08,35,43,115,7.46,4.37
"WR",NA,4.61,37,NA,120,6.95,4.29
"C",NA,4.99,NA,23,NA,NA,NA
"RB",NA,4.62,NA,NA,NA,NA,NA
"OG",NA,5.57,NA,21,NA,7.92,4.82
"QB",NA,4.67,33.5,NA,116,6.76,4.1
"QB",NA,5.1,29,NA,110,7.36,4.49
"QB",NA,5.09,23,NA,97,NA,4.42
"QB",NA,4.57,32.5,NA,114,6.94,4.26
"RB",NA,4.64,32,18,116,7.1,4.32
"QB",NA,4.67,32.5,NA,112,6.83,4.12
"OG",NA,5.4,24,29,99,7.94,4.73
"RB",NA,4.51,33,20,117,6.93,4.22
"QB",NA,4.71,35,NA,111,6.93,4.07
"WR",NA,4.59,35.5,NA,114,6.8,4.09
"WR",NA,4.54,34,NA,116,6.97,4.1
"TE",NA,4.73,29,16,111,7.44,4.44
"RB",NA,4.62,32.5,NA,112,7.01,4.4
"WR",NA,4.48,34.5,NA,122,NA,NA
"QB",NA,4.82,33,NA,110,7.62,4.69
"RB",NA,4.6,NA,NA,NA,NA,NA
"QB",NA,5.12,27.5,NA,94,7.97,4.76
"WR",NA,4.65,33,13,110,7.02,4.33
"C",NA,5.42,26,24,98,8.03,4.67
"TE",NA,4.74,35,24,109,7.03,4.2
"WR",NA,4.71,34,NA,120,6.93,4.03
"WR",NA,4.7,36.5,19,115,6.9,4.18
"FB",NA,4.91,29.5,22,110,7.46,4.5
"QB",NA,4.57,35,NA,122,7.41,4.47
"WR",NA,4.58,33,NA,114,7.17,4.46
"OG",NA,5.6,NA,24,NA,NA,NA
"OG",NA,5.44,24.5,24,97,8.17,4.84
"OT",NA,5.73,19.5,NA,74,8.09,4.86
"RB",NA,4.69,30.5,NA,108,7.21,4.27
"RB",1,4.4,38.5,18,125,7.09,4.47
"WR",7,4.57,34,NA,116,6.88,4.2
"WR",7,4.35,39,NA,120,7.04,4.16
"QB",7,4.56,37.5,NA,121,7.07,4.17
"WR",NA,4.47,40.5,21,123,7.09,4.14
"WR",4,4.62,37,20,118,NA,NA
"QB",NA,4.76,34,NA,114,6.75,4.22
"WR",NA,4.5,35,NA,119,6.79,4.17
"RB",NA,4.6,31.5,19,112,7.16,4.21
"TE",NA,4.8,NA,NA,NA,NA,NA
"OT",6,5.41,31.5,23,98,8.36,5.07
"RB",1,4.37,NA,NA,NA,NA,NA
"OT",5,5.29,NA,NA,NA,NA,NA
"OT",3,5.3,28,16,106,7.9,4.55
"TE",3,4.79,NA,NA,NA,NA,NA
"RB",3,4.57,31.5,18,124,7.05,4.2
"WR",NA,4.6,33,NA,116,6.89,4.21
"C",2,4.83,31.5,27,106,7.31,4.5
"OT",6,5.28,26,24,102,7.8,4.63
"QB",2,4.89,NA,NA,NA,NA,NA
"OT",2,5.05,32.5,21,110,7.43,4.58
"WR",7,4.5,37,16,123,6.94,4.43
"OT",2,5.47,26.5,28,97,7.93,4.66
"QB",3,4.88,30.5,NA,104,7.34,4.25
"QB",1,4.77,NA,23,NA,7.1,4.26
"OT",7,5.35,25,16,101,7.53,4.79
"TE",4,4.65,34.5,23,114,6.87,4.1
"RB",4,4.64,33,21,116,7.13,4.4
"TE",1,4.38,42,33,128,7,4.17
"C",6,5.13,30,28,101,7.59,4.68
"OG",7,5,24.5,28,93,7.87,4.76
"RB",2,4.39,36,18,116,7.08,4.38
"OT",4,5.25,27,20,95,7.97,4.8
"TE",2,4.72,33.5,19,112,6.94,4.34
"TE",NA,4.95,29.5,19,108,7.27,4.46
"OT",1,5.08,NA,NA,NA,NA,NA
"RB",7,4.5,35,29,119,7.19,NA
"WR",4,4.58,33.5,NA,110,7.37,4.19
"QB",6,4.59,34,NA,107,7.12,4.16
"WR",4,4.53,34,NA,118,NA,NA
"WR",3,4.45,36,NA,124,NA,4.07
"RB",5,4.67,35,NA,114,7.03,4.38
"RB",NA,4.4,33,18,113,7.38,NA
"FB",NA,4.73,36,20,117,7,4.38
"RB",5,4.47,34.5,19,124,6.77,4.07
"WR",6,4.59,32,NA,116,6.97,4.14
"WR",2,4.41,38,16,124,NA,NA
"WR",1,4.35,NA,NA,NA,NA,NA
"WR",2,4.32,38.5,NA,122,6.73,3.97
"QB",2,4.69,31.5,22,107,7.4,4.38
"OG",4,5.48,24.5,27,95,8.56,5.08
"WR",6,4.44,37.5,NA,118,6.88,4.12
"WR",2,4.42,36.5,NA,117,6.68,4.16
"OG",1,5.09,32,24,111,NA,4.97
"OT",2,5.16,35,NA,110,7.31,4.53
"TE",5,4.83,32.5,21,109,6.99,4.09
"FB",5,4.76,29.5,NA,106,7.18,4.31
"TE",2,4.63,36,27,112,7.39,4.21
"OG",5,5.1,30,24,109,7.59,4.6
"QB",1,4.9,NA,NA,NA,NA,NA
"TE",1,4.8,37,23,118,7.24,4.82
"RB",6,4.48,35,18,111,6.99,4.36
"OG",2,5.35,28,26,97,8.04,4.76
"C",1,5.05,27.5,24,104,7.47,4.36
"RB",1,4.48,NA,NA,NA,NA,NA
"WR",4,4.52,37,NA,120,NA,NA
"QB",5,4.71,36,NA,111,7.13,4.17
"TE",7,4.85,NA,32,NA,NA,NA
"OT",2,5.07,31,NA,98,8.19,5
"QB",6,4.4,32,NA,121,6.96,4.25
"OT",3,5.07,29.5,28,110,7.72,4.62
"FB",4,4.64,35.5,23,111,6.81,4.05
"WR",NA,4.48,31.5,NA,111,NA,NA
"C",7,5.12,29.5,35,104,7.4,4.43
"WR",2,4.38,NA,NA,NA,NA,NA
"WR",NA,4.55,33.5,NA,112,6.91,4.08
"RB",3,4.4,36.5,15,122,6.81,4.25
"OG",6,5.36,24.5,24,100,7.58,4.59
"WR",7,4.45,38,NA,116,7.17,4.21
"OT",5,5.39,25,21,92,NA,NA
"OT",5,5.44,28.5,21,102,8.45,5.11
"OT",4,5.11,NA,32,NA,NA,NA
"WR",6,4.44,35.5,NA,119,7.31,4.16
"OT",NA,5.05,NA,21,NA,NA,NA
"OT",7,5.39,28.5,28,102,NA,NA
"WR",5,4.49,NA,NA,NA,NA,NA
"QB",5,4.84,32.5,NA,108,7.47,4.29
"TE",5,4.87,31.5,27,108,7.53,4.37
"C",6,5.24,27,27,96,7.85,4.69
"RB",7,4.62,30.5,18,106,7.07,4.22
"TE",5,4.84,32.5,23,115,7.31,4.3
"TE",3,4.62,37.5,22,118,7.47,4.67
"C",NA,5.55,25,20,90,8.17,4.97
"WR",3,4.34,37.5,NA,117,7.06,4.26
"WR",4,4.57,NA,NA,NA,NA,NA
"OT",NA,5.28,NA,19,NA,NA,NA
"RB",NA,4.58,NA,15,NA,NA,NA
"RB",NA,4.56,35,20,112,7,4.35
"TE",2,4.54,33.5,17,115,6.81,4.01
"OT",5,5.32,24.5,NA,101,7.73,4.85
"OT",7,5.23,31,25,101,NA,NA
"OG",7,5.38,26.5,19,100,7.63,4.53
"OG",4,5.25,NA,27,NA,NA,NA
"WR",4,4.46,39.5,NA,128,7,4.33
"OG",4,5.15,28.5,20,101,8.13,4.98
"OG",3,5.25,NA,30,NA,NA,NA
"OG",3,5.4,28.5,25,102,7.82,4.55
"WR",3,4.57,35,NA,122,6.81,4.14
"OT",7,5.38,21,19,94,8.01,4.83
"TE",5,4.77,32.5,20,114,7.09,4.52
"FB",NA,4.85,29,35,101,7.72,4.7
"TE",6,4.72,34,25,111,7.49,4.54
"TE",3,4.67,37.5,19,113,7.05,4.34
"OT",5,5.12,26.5,23,100,7.45,4.7
"OT",2,5.25,27.5,20,96,7.82,4.68
"FB",6,4.82,30.5,21,104,7.74,4.63
"QB",NA,4.47,36,NA,117,6.94,4.08
"WR",6,4.49,36.5,NA,118,NA,NA
"TE",NA,4.78,29,21,105,7.29,4.21
"RB",4,4.42,32.5,17,105,6.94,4.37
"WR",7,4.4,36,15,118,7.13,4.24
"WR",6,4.4,37,NA,126,6.81,4.08
"OT",4,4.96,29,26,102,7.38,4.59
"OT",2,5.16,30.5,28,112,8.23,4.83
"QB",3,4.75,33,NA,112,7,4.11
"RB",2,4.49,NA,NA,NA,NA,NA
"WR",3,4.48,34.5,NA,115,6.87,4.07
"RB",1,4.45,35.5,25,121,NA,NA
"WR",4,4.52,38,NA,127,6.84,4.08
"WR",3,4.47,36.5,NA,120,6.7,3.99
"OT",3,4.94,29,NA,108,7.47,4.44
"QB",1,4.48,NA,NA,NA,NA,NA
"WR",NA,4.58,36.5,NA,125,6.99,4.19
"TE",NA,5.07,25.5,15,101,7.31,4.41
"QB",NA,4.79,34,NA,112,7.35,4.49
"OT",NA,5.2,26.5,20,105,7.62,4.67
"WR",NA,4.64,NA,20,NA,NA,NA
"TE",NA,4.89,31,20,109,7.35,4.57
"C",NA,5.35,25.5,28,101,7.98,4.84
"RB",NA,4.75,31,16,107,NA,4.56
"WR",NA,4.54,32,NA,110,6.87,4.35
"WR",NA,4.53,34,NA,118,6.84,4.16
"RB",NA,4.59,NA,22,NA,NA,NA
"WR",NA,4.52,33.5,19,114,7.13,4.35
"WR",NA,4.4,39.5,NA,129,6.94,4.08
"OG",NA,5.86,24.5,22,91,8.7,5.01
"C",NA,5.46,27.5,34,104,8.1,4.84
"QB",NA,4.74,32.5,NA,113,7.03,4.41
"QB",NA,5.37,25,NA,91,7.77,4.64
"OG",NA,5.46,25.5,28,98,7.8,4.88
"WR",NA,4.52,39,14,126,7.09,4.39
"WR",NA,4.67,34.5,NA,120,NA,NA
"TE",NA,4.84,28.5,15,106,7.05,4.68
"OT",NA,4.91,29,22,104,7.59,4.68
"QB",NA,4.96,32.5,NA,106,6.95,4.46
"C",NA,5.15,NA,22,NA,NA,NA
"WR",NA,4.49,36,NA,125,6.89,4.27
"OT",NA,5.22,NA,NA,NA,NA,NA
"RB",NA,4.62,34,NA,118,7.09,NA
"WR",NA,4.57,34.5,NA,123,6.99,4.3
"OG",NA,5.38,NA,19,NA,NA,NA
"OG",NA,5.47,26.5,34,90,8.15,5.04
"WR",NA,4.67,30,15,112,6.9,4.19
"WR",NA,4.7,NA,NA,NA,6.94,4.21
"FB",NA,4.7,37,19,115,7.37,4.35
"WR",NA,4.55,NA,NA,NA,NA,NA
"C",NA,5.2,29.5,21,99,7.62,4.57
