"position","Round","forty","vertical","bench_reps","broad_jump","three_cone","shuttle"
"CB",5,4.51,34,9,128,NA,NA
"S",6,4.57,NA,NA,NA,NA,NA
"CB",2,4.36,35.5,14,124,6.9,4.21
"DT",7,5.08,32.5,28,115,7.2,4.39
"DE",5,4.74,NA,NA,NA,NA,NA
"DT",4,5.15,30,37,107,7.82,4.72
"DE",NA,5.23,NA,NA,NA,NA,NA
"S",7,4.69,30.5,21,111,7.06,NA
"S",NA,4.64,36,17,122,6.68,4.34
"ILB",NA,4.68,31,19,118,7.44,4.53
"DE",NA,4.69,NA,NA,NA,NA,NA
"S",2,4.67,37,17,124,6.7,4.11
"CB",NA,4.42,37,11,124,NA,NA
"ILB",NA,5.01,30.5,19,115,7.21,4.39
"DE",4,4.72,35,14,128,6.89,4.3
"CB",2,4.39,35,22,127,6.82,4.06
"OLB",NA,4.75,NA,NA,NA,NA,NA
"ILB",2,4.82,33,NA,113,7.13,4.27
"OLB",NA,4.91,32,18,113,7.17,4.31
"S",4,4.65,35,14,122,NA,NA
"S",4,4.42,40.5,28,133,NA,4.26
"CB",1,4.38,37.5,16,125,NA,3.85
"S",1,4.63,38,15,121,6.78,4.06
"DE",6,4.55,39,36,128,NA,NA
"CB",4,4.51,40.5,14,132,6.82,3.84
"CB",3,4.41,35,14,125,NA,NA
"DE",1,4.83,31,25,111,7.3,4.4
"S",3,4.57,35,17,124,7.02,4.09
"DT",3,5.37,29.5,38,102,8.09,4.91
"S",4,4.48,37.5,13,126,NA,4
"DT",5,4.94,NA,30,NA,NA,NA
"DT",7,4.94,33,28,111,7.55,4.65
"S",3,4.46,36,25,120,7.01,4.25
"CB",5,4.42,40.5,12,128,6.89,4.1
"DT",1,5.03,26.5,27,102,7.93,4.8
"DE",6,4.92,33,25,112,NA,NA
"OLB",4,4.57,38,30,124,NA,NA
"S",5,4.44,39,NA,134,NA,4.07
"CB",6,4.53,33.5,17,117,6.95,4.18
"CB",3,4.53,36,14,128,6.97,4.12
"ILB",NA,4.82,NA,NA,NA,NA,NA
"CB",NA,4.57,NA,13,NA,NA,NA
"S",4,4.5,38,NA,123,7.05,4.51
"CB",5,4.61,35.5,13,117,NA,4.15
"OLB",2,NA,NA,NA,NA,NA,NA
"S",NA,4.66,34,NA,113,6.97,4.15
"OLB",1,4.66,34.5,15,119,6.82,4.19
"ILB",5,4.64,35,22,123,7.24,4.35
"CB",NA,4.48,NA,11,NA,NA,NA
"CB",5,4.59,40.5,10,122,6.94,4.38
"S",5,4.71,35.5,15,117,7.08,4.22
"ILB",3,4.83,31,27,114,7.18,4.27
"S",4,4.58,35,18,116,7.04,4.31
"OLB",4,4.76,37.5,23,122,7.25,4.3
"CB",4,4.62,34.5,11,123,7.04,4.33
"DT",3,5.06,33.5,26,106,7.92,4.78
"S",3,4.42,38,10,119,7.35,NA
"OLB",NA,5.03,31,16,108,7.77,4.56
"ILB",3,4.86,33,23,116,6.98,4.26
"S",1,4.49,36.5,19,125,6.96,4.26
"ILB",NA,4.78,31,30,112,7.22,4.3
"DT",5,5.47,26,32,88,7.89,4.6
"CB",7,4.49,NA,17,NA,NA,NA
"DE",3,4.77,32,22,112,7.26,4.57
"S",1,4.58,33,11,119,7.16,4.16
"DE",1,4.53,37.5,21,124,7.27,4.43
"CB",4,4.56,36.5,10,122,7.28,4.32
"DT",NA,5.12,NA,24,NA,NA,NA
"CB",4,4.51,NA,NA,NA,NA,NA
"DE",3,4.84,31.5,24,108,7.19,4.29
"CB",NA,4.54,NA,15,NA,NA,NA
"CB",1,4.52,NA,15,NA,NA,NA
"CB",4,4.59,35,11,133,6.86,4.3
"S",7,4.64,32,14,111,7.55,4.5
"CB",6,4.41,32.5,17,117,7.15,4.27
"DT",1,4.68,32,35,116,7.11,4.39
"S",7,4.52,33.5,8,118,7.04,4.24
"DE",2,4.92,31,22,114,6.83,4.45
"DT",1,4.93,NA,26,NA,NA,NA
"OLB",NA,4.79,34.5,19,115,7.2,4.35
"DT",4,5.27,28,25,92,7.81,4.75
"DE",6,4.86,34,28,112,7.67,4.65
"CB",6,4.59,35,17,117,7.05,4.13
"DT",2,4.98,NA,24,NA,NA,NA
"DE",1,NA,NA,NA,NA,NA,NA
"OLB",4,4.7,36,30,120,NA,NA
"CB",1,4.49,38.5,12,128,6.9,4.19
"CB",6,4.44,NA,15,NA,NA,NA
"CB",3,4.38,36.5,11,122,6.62,4.04
"DE",NA,4.7,37,26,122,7.19,4.27
"ILB",5,4.91,33,28,116,NA,NA
"CB",1,4.37,35.5,20,126,6.92,NA
"CB",6,4.52,37,11,123,6.8,4.34
"DT",2,4.92,35.5,32,114,7.87,4.5
"CB",7,4.5,35.5,15,119,7.14,4.27
"CB",NA,4.69,33.5,20,118,7.01,4.2
"DE",5,4.92,NA,21,NA,NA,NA
"OLB",4,4.74,31.5,23,116,7.15,4.45
"OLB",NA,4.69,38.5,NA,117,NA,NA
"S",4,4.49,35.5,15,118,7.26,4.19
"DT",NA,5.1,29.5,20,108,7.23,4.33
"ILB",6,4.9,NA,NA,NA,NA,NA
"CB",6,4.51,38,13,128,6.75,4
"CB",6,4.44,39,9,NA,6.81,4.19
"CB",2,4.61,41.5,13,128,NA,4.33
"DE",NA,4.63,36,18,123,6.97,4.18
"DT",2,5.06,29.5,27,102,NA,4.83
"DT",NA,5.24,24.5,20,102,7.93,4.83
"CB",4,4.41,38.5,12,124,6.82,4.24
"OLB",NA,4.68,33.5,NA,115,NA,NA
"DT",4,5.35,27.5,25,101,7.73,4.78
"OLB",NA,4.6,40.5,21,124,7.16,4.41
"CB",2,4.55,37.5,14,124,7.26,4.4
"OLB",5,4.7,30,23,113,7.25,4.32
"DT",NA,5.06,28.5,28,99,7.93,4.71
"OLB",3,4.72,32,16,122,NA,NA
"S",NA,4.7,36.5,24,127,NA,NA
"DE",2,4.8,34.5,20,113,7.46,4.31
"CB",4,4.48,33,16,120,7.12,4.4
"S",NA,4.6,36.5,15,122,7.05,4.47
"OLB",NA,4.66,NA,NA,122,7.15,4.3
"S",NA,4.65,32.5,12,119,7.15,4.35
"DE",5,4.76,NA,18,NA,NA,NA
"OLB",1,4.65,40,23,128,7.08,4.18
"DT",NA,5.16,28,29,101,7.78,4.61
"DE",4,4.89,32,14,108,7.08,4.25
"DE",3,4.72,35.5,22,129,7.2,4.33
"DE",NA,5.21,32,21,116,7.43,4.51
"DT",6,5.18,20.5,27,97,NA,NA
"CB",3,4.47,NA,NA,NA,NA,NA
"CB",4,4.51,39,NA,129,7.29,4.18
"DE",NA,4.95,27.5,17,109,NA,NA
"CB",7,4.63,34,NA,117,6.57,4
"DE",6,4.84,33.5,23,123,7.41,4.46
"ILB",NA,4.8,34.5,18,117,6.94,4.36
"ILB",1,4.65,35,NA,118,7.3,4.4
"DE",2,4.86,35.5,19,118,6.78,4.2
"OLB",5,4.73,34,21,117,7.31,4.63
"DT",3,5.32,25.5,NA,97,8.29,4.94
"DE",6,4.92,NA,NA,NA,NA,NA
"DT",NA,5.1,30.5,31,111,7.67,4.53
"OLB",4,4.51,39,28,128,6.92,4.02
"OLB",5,4.65,35.5,21,114,NA,NA
"CB",7,4.45,NA,16,NA,7.04,4.3
"S",1,4.58,34.5,18,116,NA,NA
"CB",NA,4.61,35.5,6,120,NA,NA
"DT",NA,5.03,23.5,27,102,NA,NA
"DT",7,NA,NA,36,NA,NA,NA
"CB",5,4.43,NA,22,NA,NA,NA
"DT",5,4.91,26.5,20,106,7.59,4.58
"OLB",7,4.67,NA,26,NA,NA,NA
"S",5,4.57,32.5,15,117,NA,NA
"CB",NA,4.51,37.5,20,123,6.72,4
"CB",NA,4.61,37.5,8,120,6.84,4.08
"CB",1,4.39,38.5,17,124,NA,4.04
"DE",7,4.91,25.5,17,114,7.8,4.7
"OLB",1,4.58,42,25,130,6.91,4.21
"OLB",4,4.71,38.5,26,122,7.29,4.31
"ILB",NA,5.09,NA,NA,NA,NA,NA
"ILB",7,NA,36.5,18,108,NA,NA
"OLB",5,4.66,37,28,121,7.55,4.46
"DE",1,4.66,35,23,121,7.48,4.47
"OLB",5,4.52,31.5,NA,119,NA,NA
"S",NA,4.67,32,13,114,6.47,3.95
"S",3,4.38,NA,NA,NA,NA,NA
"OLB",7,4.95,32,24,116,6.64,4.15
"DT",7,5.25,30.5,25,103,NA,NA
"DE",5,4.98,NA,NA,NA,NA,NA
"S",5,NA,NA,18,NA,NA,NA
"DT",3,5.36,28.5,24,99,7.93,4.82
"CB",6,4.52,37,19,125,NA,NA
"DT",NA,5.26,NA,32,NA,NA,NA
"DT",3,5.03,29,28,112,7.83,4.76
"OLB",5,4.67,37.5,22,120,6.89,3.96
"DT",2,4.92,NA,31,NA,NA,NA
"DT",NA,4.99,29.5,18,110,NA,NA
"DE",4,4.98,NA,NA,NA,NA,NA
"OLB",2,4.71,32.5,21,112,7.22,4.2
"S",4,4.47,34,25,117,6.9,4.07
"CB",1,4.38,39,NA,128,6.69,4
"S",1,4.59,NA,9,NA,NA,NA
"CB",4,4.41,NA,22,NA,NA,NA
"DE",NA,4.9,29,19,110,7.3,4.67
"CB",7,4.63,36,15,121,6.98,4.27
"DT",NA,5.02,NA,NA,NA,NA,NA
"ILB",5,4.66,30.5,25,120,7.11,4.07
"DE",NA,4.97,34,31,113,NA,NA
"OLB",6,4.76,33,NA,116,6.99,4.25
"DT",NA,4.99,26.5,30,106,7.3,4.44
"OLB",NA,4.68,33.5,NA,125,NA,4.65
"DE",NA,4.81,37.5,14,109,7.07,4.26
"OLB",4,4.55,36,24,121,7.14,4.2
"S",5,4.56,35.5,NA,122,7.09,4.03
"DE",3,4.97,30,NA,111,7.2,4.19
"ILB",1,4.56,37,23,122,7.07,4.03
"DE",1,5.06,34,24,117,7.57,4.53
"OLB",5,4.65,NA,22,NA,NA,NA
"DE",NA,4.8,NA,22,NA,NA,NA
"OLB",1,4.53,41,35,130,6.91,4.15
"DT",6,5.04,NA,NA,NA,NA,NA
"DT",4,5.02,31,20,101,7.5,4.57
"S",NA,4.56,NA,15,NA,NA,NA
"DT",1,5.05,29.5,26,98,7.84,4.59
"S",4,4.52,NA,23,NA,NA,NA
"CB",3,4.51,40,17,121,7.05,4.07
"CB",NA,4.62,NA,NA,120,NA,NA
"DE",6,4.79,34.5,27,114,7.17,4.25
"DE",2,4.79,38.5,19,118,7.08,4.05
"CB",NA,4.53,37.5,20,124,6.61,3.98
"CB",2,4.48,36,NA,124,6.77,4.27
"S",2,4.53,35,NA,120,7.38,4.33
"DT",3,4.86,29,29,110,7.23,4.37
"DT",6,4.9,NA,NA,NA,NA,NA
"CB",NA,4.36,38,15,129,7.05,4.07
"DE",NA,5.01,33,NA,110,7.64,4.65
"OLB",NA,4.8,NA,25,NA,NA,NA
"CB",2,4.38,41.5,12,129,6.94,4.14
"OLB",NA,4.95,29,16,107,7.38,4.37
"DT",3,5.07,33,NA,103,7.91,4.47
"DT",5,5.18,33,32,105,7.53,4.46
"ILB",3,4.93,28,21,109,NA,4.49
"DE",NA,4.97,NA,23,NA,NA,NA
"ILB",NA,4.93,NA,NA,NA,NA,NA
"OLB",7,4.74,29.5,19,100,7.56,4.53
"CB",6,4.56,35.5,17,113,7.22,4.15
"CB",5,4.5,33.5,9,115,7.2,4.26
"S",NA,4.65,39.5,NA,119,7.09,4.33
"DE",6,5.06,NA,26,NA,NA,NA
"DE",1,4.56,42,NA,138,NA,NA
"DE",2,4.76,32.5,32,120,7.44,4.55
"CB",7,4.52,NA,NA,NA,NA,NA
"OLB",5,4.77,34,27,120,7.1,4.25
"S",NA,4.56,31,NA,117,7.09,4.26
"DE",4,4.93,36.5,28,121,7.34,4.4
"OLB",1,4.6,32.5,19,112,7.4,4.32
"OLB",NA,4.73,34.5,18,118,6.83,4.15
"CB",6,4.44,34.5,NA,123,7.07,4.2
"S",4,4.55,37,22,120,7.21,4.27
"CB",NA,4.64,34,NA,123,6.97,4.26
"DT",2,5.28,NA,NA,NA,NA,NA
"OLB",2,4.9,NA,NA,NA,NA,NA
"CB",2,4.46,33.5,15,120,6.81,4.2
"CB",4,4.44,33,21,116,NA,4.33
"DE",2,4.64,36.5,24,125,NA,NA
"OLB",3,4.81,37,20,117,7.24,4.38
"S",NA,4.62,33.5,12,108,7.18,4.41
"DE",6,4.72,36,22,121,7.28,4.28
"S",NA,4.81,32,NA,110,7.12,4.2
"ILB",7,4.6,35,26,117,7.15,4.36
"DT",4,4.91,NA,27,NA,NA,NA
"OLB",3,4.6,35,NA,123,7.07,4.16
"S",NA,4.56,NA,NA,NA,NA,NA
"ILB",5,4.59,33.5,19,120,6.68,4
"ILB",6,4.83,32,23,111,7.35,4.27
"OLB",3,4.68,38,20,124,6.78,4.15
"CB",NA,4.55,32.5,NA,120,6.81,4.21
"S",7,4.62,NA,17,NA,NA,NA
"OLB",NA,4.68,NA,31,NA,6.99,4.15
"DE",3,4.57,NA,25,NA,NA,NA
"DE",7,4.88,31,16,111,7.39,4.58
"DT",5,5.06,31,30,112,7.37,4.56
"S",6,4.57,33,21,109,6.95,4.4
"S",NA,4.72,33.5,15,116,7.18,4.15
"CB",1,4.52,41.5,NA,130,6.79,3.89
"CB",1,4.43,44.5,NA,147,6.78,3.94
"ILB",NA,4.95,32,19,115,7.25,4.33
"ILB",2,4.61,38,19,124,NA,NA
"OLB",2,4.93,NA,NA,NA,NA,NA
"CB",3,4.44,38,17,130,6.83,4.07
"S",NA,4.58,33.5,16,114,7,4.18
"CB",NA,4.54,37.5,12,124,6.96,4.15
"OLB",3,4.85,32,23,112,7.47,4.58
"DT",NA,5.54,22.5,NA,97,8.2,5.01
"CB",5,4.51,36,17,130,6.8,3.82
"DT",NA,5.21,32,24,109,8.16,5.07
"S",NA,4.63,33,19,112,7.01,4.26
"ILB",2,4.66,40.5,16,121,7.21,4.27
"CB",3,4.49,34.5,19,115,6.88,4.07
"DT",6,5.02,34,26,114,7.67,4.69
"OLB",7,4.56,NA,24,NA,NA,NA
"DE",3,4.62,39,25,127,7.36,4.19
"DE",2,4.8,31.5,NA,115,7.28,4.43
"DT",NA,5.16,28,NA,100,8.26,4.9
"DT",5,5.38,29,34,103,NA,NA
"ILB",2,4.78,32,27,113,NA,NA
"CB",NA,4.61,32.5,7,119,6.8,4
"CB",1,4.53,37.5,17,121,7.08,4.08
"DT",6,5,31,26,107,8,NA
"DT",2,5.17,30,28,105,7.88,4.68
"S",NA,4.6,35,11,125,7.12,4.23
"ILB",7,4.78,31,19,110,7.07,4.39
"S",1,4.46,38,14,120,6.83,4.07
"DE",1,4.68,NA,21,NA,NA,NA
"DE",NA,4.89,NA,22,NA,NA,NA
"DT",NA,5.16,32.5,NA,106,7.57,4.41
"S",2,4.65,32,13,111,6.74,4.22
"OLB",7,4.61,37,20,121,7.49,4.38
"CB",2,4.57,36.5,14,122,7.1,4.28
"CB",2,4.45,39,19,125,6.7,3.97
"DE",5,4.75,32.5,25,119,7.25,4.47
"OLB",4,4.65,34.5,20,120,7.11,4.2
"S",4,4.56,32.5,NA,123,7.04,NA
"CB",4,4.44,37.5,26,130,7.01,4.12
"DT",1,5.64,30.5,34,95,7.99,4.65
"CB",6,4.62,NA,14,NA,NA,NA
"DT",7,5.12,29.5,35,105,7.92,4.76
"S",6,4.61,NA,NA,NA,NA,NA
"CB",3,4.37,36,18,124,6.96,4.26
"DE",2,4.74,34,24,121,7.07,4.28
"CB",5,4.6,36.5,15,124,6.97,3.96
"DE",4,4.83,29,23,113,7.42,4.66
"ILB",5,4.81,35,25,120,7.66,NA
"DT",NA,5.19,30,29,106,7.78,4.71
"CB",5,4.5,33,NA,118,NA,NA
"S",2,4.53,NA,NA,124,NA,NA
"OLB",NA,4.91,30.5,20,112,NA,NA
"OLB",1,4.64,33.5,NA,117,6.99,4.08
"DE",NA,4.91,32.5,24,117,7.32,4.48
"DT",NA,4.96,32,NA,105,7.4,4.3
"OLB",5,4.57,42.5,26,132,NA,NA
"OLB",6,4.83,36.5,NA,121,7.59,4.37
"DT",6,5.25,27,25,103,7.91,4.78
"OLB",NA,4.99,32.5,17,110,7.2,4.31
"CB",1,4.31,38,19,122,7.06,4.39
"S",NA,4.59,37,15,128,6.95,4.11
"CB",NA,4.63,35.5,18,121,NA,NA
"DT",1,4.97,29.5,NA,106,7.59,4.53
"CB",3,4.57,40,12,132,7.08,4.28
"ILB",4,4.77,37,22,119,7.21,4.2
"CB",NA,4.58,36,NA,125,6.94,4.22
"ILB",4,4.77,35,23,111,NA,4.51
"DT",4,5.07,26.5,34,100,7.73,4.56
"CB",NA,4.68,35.5,NA,123,NA,NA
"DT",NA,5.15,25,23,NA,7.9,4.97
"CB",NA,4.73,32,19,117,NA,NA
"CB",NA,4.68,37,NA,127,7.07,4.06
"DL",NA,5.34,23.5,33,104,NA,5.13
"ILB",NA,4.72,NA,27,NA,NA,NA
"DE",NA,5.23,30,20,111,7.46,4.73
"DE",NA,5.1,29.5,25,108,7.55,4.62
"ILB",NA,4.64,28.5,17,104,NA,NA
"CB",2,4.43,NA,11,NA,NA,NA
"CB",1,4.4,NA,13,NA,NA,NA
"DE",NA,4.87,NA,20,NA,NA,NA
"S",2,4.52,NA,16,NA,NA,NA
"DT",4,5.05,27.5,31,113,8.05,4.82
"DE",5,5.15,30,32,113,7.95,4.53
"CB",NA,4.47,35,10,123,7.16,4.22
"OLB",6,4.7,37.5,21,121,7.07,4.36
"DE",1,4.86,32,24,120,6.89,4.21
"CB",2,4.5,36,16,124,6.91,4.21
"OLB",5,4.89,28.5,19,110,6.99,4.11
"CB",6,4.33,35,19,115,7.03,4.19
"OLB",NA,4.77,31,18,110,7.07,4.28
"S",NA,4.76,33,14,114,7.08,4.33
"DE",1,5.05,32,NA,116,7.51,4.47
"DE",3,4.93,32,23,116,7.31,4.56
"CB",1,4.46,31.5,NA,NA,NA,NA
"CB",4,4.53,36.5,19,122,7.1,4.4
"S",4,4.64,36,17,123,NA,NA
"DT",1,5.33,29.5,26,104,7.82,4.76
"DE",3,4.82,35,23,115,6.97,4.25
"CB",NA,4.58,33.5,14,NA,NA,NA
"OLB",4,4.58,34,16,116,NA,NA
"CB",6,4.49,38,16,124,7.03,4.09
"S",NA,4.48,NA,19,NA,NA,NA
"S",NA,4.56,NA,NA,NA,NA,NA
"DT",1,5.06,28.5,29,102,NA,4.62
"DT",3,5.03,29.5,25,109,7.53,4.52
"DE",2,4.69,33,21,108,NA,NA
"DE",NA,4.82,31.5,21,111,6.8,4.31
"OLB",2,4.58,27,16,114,NA,NA
"CB",NA,4.43,36.5,NA,119,NA,NA
"ILB",7,4.86,32,16,112,7.33,4.54
"CB",2,4.46,37.5,21,126,6.64,3.97
"DT",4,5.07,30,21,102,7.44,4.5
"S",5,4.53,NA,11,121,NA,NA
"DE",2,4.86,NA,NA,NA,NA,NA
"CB",NA,4.55,41,NA,125,6.93,3.94
"OLB",3,4.72,34.5,15,121,NA,NA
"DE",NA,4.92,35.5,23,113,7.06,4.39
"OLB",6,4.5,40,NA,130,7.2,4.42
"OLB",1,4.6,39.5,NA,127,NA,NA
"ILB",6,4.91,30.5,11,118,NA,NA
"S",6,4.53,NA,18,NA,NA,NA
"OLB",NA,4.97,29,NA,113,NA,NA
"CB",3,4.48,NA,15,NA,NA,NA
"OLB",4,4.69,34.5,30,118,7.05,4.51
"DT",2,4.88,NA,NA,NA,NA,NA
"S",2,4.34,35.5,13,129,NA,NA
"DT",3,4.93,34.5,29,109,7.9,4.7
"CB",1,4.5,39,15,130,NA,3.98
"CB",NA,4.56,38.5,NA,124,6.82,4.06
"DT",NA,5.02,33,26,113,7.44,4.52
"DT",4,5,30.5,28,110,7.57,4.53
"S",6,4.54,32.5,13,115,7.15,4.28
"CB",2,4.58,33,11,122,7.18,4.15
"DT",5,5.03,28,32,108,7.78,4.71
"DE",NA,5.06,31.5,20,113,7.4,4.77
"OLB",2,4.56,NA,19,NA,NA,NA
"CB",1,4.37,NA,10,116,NA,NA
"DT",5,4.95,29,24,NA,7.95,4.37
"OLB",3,4.8,36.5,16,121,NA,NA
"DT",2,5.32,26,25,96,7.84,4.75
"ILB",NA,4.81,NA,NA,NA,NA,4.52
"DT",2,5.03,24.5,26,106,7.44,4.62
"CB",2,4.49,33,10,116,6.71,4.21
"OLB",2,4.59,33,NA,120,NA,NA
"CB",NA,4.33,36,19,123,7.25,4.25
"S",1,4.57,NA,NA,NA,NA,NA
"DE",5,4.73,35,30,109,7.67,4.52
"DE",NA,5.01,25,26,106,7.32,4.58
"DE",3,4.87,30,25,111,7.03,4.25
"S",7,4.62,31.5,16,124,7.06,NA
"S",4,4.65,38,22,127,6.93,4.18
"S",4,4.5,37.5,NA,123,7.05,4.29
"ILB",4,4.73,32,19,120,7.16,4.22
"DT",NA,5.32,29,NA,100,7.76,4.63
"DL",NA,5.24,NA,NA,NA,NA,NA
"DE",1,4.7,33,NA,120,7.16,4.21
"OLB",1,4.47,35.5,17,133,7.12,4.2
"OLB",NA,4.73,29.5,NA,114,7.11,4.32
"S",NA,4.75,36,8,120,7.18,4.15
"ILB",NA,4.78,32,19,116,7.5,4.56
"DE",4,4.87,32.5,30,114,7.26,4.38
"S",6,4.54,NA,NA,NA,NA,NA
"DT",NA,4.96,NA,29,NA,NA,NA
"OLB",NA,4.73,NA,NA,NA,NA,NA
"ILB",4,4.71,28.5,22,113,6.98,4.2
"OLB",7,4.81,31,22,112,7.19,4.5
"DE",7,4.8,34.5,NA,128,7.01,4
"ILB",NA,4.83,NA,21,NA,NA,NA
"CB",6,4.65,35.5,6,118,7.44,4.43
"S",7,4.61,37,16,123,6.86,4
"ILB",4,4.76,NA,NA,NA,NA,NA
"CB",4,4.49,39.5,15,124,7.08,4.05
"DE",3,4.84,28.5,21,114,7.27,4.37
"S",1,4.62,38,17,132,7.09,4.38
"DE",NA,4.94,30,20,114,7.53,4.78
"DE",3,4.75,34.5,26,118,7.35,4.5
"DE",6,4.74,41,14,116,7.04,4.38
"DT",1,4.87,35,28,116,NA,NA
"ILB",NA,4.8,29.5,19,114,NA,4.52
"DE",NA,4.96,32,23,123,7.53,4.56
"DE",NA,4.86,32,NA,119,7.24,4.4
"DE",2,4.63,35.5,20,121,7.26,4.5
"DE",NA,4.9,33,23,120,7.38,4.53
"DE",NA,4.88,NA,NA,NA,NA,NA
"OLB",NA,4.61,34,18,123,7.15,4.47
"ILB",NA,5.05,31,22,113,NA,NA
"ILB",4,4.68,33.5,20,124,NA,NA
"CB",NA,4.58,35.5,14,121,6.94,4.31
"DE",NA,4.99,28,17,108,7.74,4.69
"S",NA,4.46,34.5,15,120,7.03,4.25
"ILB",2,4.72,31.5,NA,116,NA,4.28
"CB",1,4.41,41.5,14,135,6.94,4.18
"DT",1,5.03,34.5,28,118,7.44,4.59
"DT",5,5.33,29.5,30,99,7.9,4.71
"CB",3,4.45,NA,NA,NA,NA,NA
"DT",2,5.21,31,NA,104,7.77,4.75
"DT",4,5.02,32,24,113,8.28,4.82
"DT",2,5.2,26,22,106,7.8,4.74
"CB",4,4.49,35.5,NA,121,NA,NA
"CB",3,4.49,NA,17,NA,NA,NA
"CB",5,4.5,35.5,19,116,NA,NA
"OLB",4,4.76,33.5,22,111,7.11,4.3
"CB",6,4.39,35,12,124,NA,4.18
"S",NA,4.58,33,18,119,NA,4.51
"S",3,4.61,40,16,126,6.58,3.85
"CB",5,4.53,37,11,120,7.08,4.19
"OLB",2,4.67,NA,NA,NA,NA,NA
"CB",4,4.47,36,18,122,6.88,4.09
"ILB",NA,4.77,34.5,19,120,NA,NA
"DE",2,4.8,35,25,121,7.21,4.35
"S",NA,4.79,33,15,115,7.17,4.25
"OLB",NA,4.8,30,23,116,7.3,4.46
"DE",4,4.59,34,23,119,NA,NA
"S",3,4.69,32.5,12,118,7.26,4.33
"DT",NA,4.98,35,NA,113,NA,NA
"DE",NA,4.92,NA,18,NA,7.46,4.5
"DT",3,5.19,29,17,110,8.03,4.59
"ILB",3,4.72,31.5,NA,115,6.73,4
"DT",2,5.11,25,20,111,7.38,4.63
"DT",3,5.17,27,21,99,8.06,4.79
"OLB",7,4.61,31,23,117,NA,NA
"CB",6,4.49,33,17,132,7.18,4.33
"CB",3,4.37,30.5,18,118,6.85,4.19
"DL",NA,5.18,NA,NA,NA,NA,NA
"CB",3,4.64,35.5,14,123,6.98,4.15
"ILB",7,4.9,31,22,113,NA,4.47
"DT",NA,4.91,34.5,22,117,7.32,4.27
"CB",4,4.46,34.5,9,118,6.8,3.93
"DT",6,4.81,30.5,28,109,7.63,4.39
"CB",NA,4.47,34,13,130,NA,NA
"ILB",NA,4.73,33,18,114,7.13,4.31
"S",1,4.56,31.5,18,120,6.96,4.13
"DT",3,4.87,29,22,108,7.62,4.89
"CB",5,4.48,34.5,15,117,6.64,4.34
"DT",1,5,30,21,108,7.49,4.5
"OLB",2,4.78,NA,NA,NA,NA,NA
"OLB",3,4.63,30.5,16,116,6.88,4.25
"CB",2,4.43,34.5,16,132,6.81,4.14
"S",2,4.45,32.5,15,115,6.76,4.08
"DE",1,4.88,31,NA,117,6.96,4.44
"DE",3,4.7,31.5,15,119,7.27,4.35
"ILB",3,NA,NA,20,NA,NA,NA
"OLB",4,4.67,33.5,21,118,6.92,4.3
"ILB",NA,NA,29.5,20,111,7.02,4.43
"OLB",NA,4.82,31.5,20,121,7.2,4.37
"OLB",2,4.65,37.5,21,127,6.75,NA
"DT",6,5.14,27,21,105,7.66,4.62
"ILB",5,4.65,37,NA,124,6.92,4.18
"DE",NA,4.94,34,19,115,7.24,4.44
"ILB",5,4.7,31.5,17,120,NA,NA
"ILB",NA,NA,31.5,20,116,NA,NA
"DE",7,4.74,29.5,25,120,7.2,4.44
"S",NA,4.64,35,19,122,NA,NA
"DE",1,4.92,33,25,116,7.17,4.39
"S",6,4.54,34,16,122,6.85,4.07
"CB",6,NA,NA,20,NA,NA,NA
"DT",NA,NA,NA,23,NA,NA,NA
"CB",1,4.44,37,11,129,6.68,4.18
"DE",NA,4.89,26.5,16,109,7.36,4.46
"OLB",2,4.67,35,15,125,7.03,4.29
"ILB",1,NA,NA,NA,NA,NA,NA
"ILB",NA,4.91,30.5,11,110,7.18,4.38
"DE",NA,NA,NA,NA,NA,NA,NA
"CB",5,4.62,31,11,116,NA,NA
"OLB",5,4.75,29.5,26,116,7.02,4.46
"CB",3,4.59,33.5,16,120,6.97,4.26
"DE",NA,4.88,30.5,NA,115,7.38,4.58
"CB",5,4.55,NA,NA,NA,NA,NA
"ILB",NA,4.79,29.5,18,115,6.8,4.25
"S",2,NA,NA,14,NA,NA,NA
"OLB",NA,4.72,34,NA,124,7.4,4.5
"S",6,NA,NA,20,NA,NA,NA
"ILB",1,NA,NA,NA,NA,NA,NA
"DE",1,4.64,41,33,128,NA,NA
"ILB",4,4.75,34.5,27,119,6.98,4.13
"S",5,4.58,30.5,17,122,NA,NA
"DT",4,5.13,27.5,20,105,7.55,4.5
"DT",5,5.27,NA,18,NA,NA,NA
"CB",3,4.38,38.5,17,132,6.87,4.14
"CB",5,4.52,35.5,14,118,NA,NA
"DE",3,4.76,36,18,123,7.03,4.38
"DE",1,4.82,32,21,109,7.47,4.42
"S",7,NA,31.5,12,121,NA,NA
"DE",3,4.65,33.5,NA,122,7.03,4.2
"DT",7,NA,NA,NA,NA,NA,NA
"S",3,4.47,33.5,17,115,6.96,4.27
"S",1,NA,NA,NA,NA,NA,NA
"CB",1,4.41,NA,10,125,6.75,NA
"CB",1,4.42,36,NA,122,NA,NA
"S",4,NA,NA,10,NA,NA,NA
"S",4,4.51,37,19,128,NA,NA
"S",NA,4.6,33,19,119,6.9,4.2
"DT",4,5.38,28,19,100,7.64,4.62
"S",3,4.61,37,14,119,6.72,4.18
"DT",6,5.04,28.5,25,108,7.73,4.65
